Wavenumber,Intensity
650.4205,0.079144
652.2841,0.078809
654.1478,0.078377
656.0115,0.081295
657.8751,0.080001
659.7388,0.075260
661.6025,0.075198
663.4661,0.076515
665.3298,0.075847
667.1935,0.075816
669.0571,0.075768
670.9208,0.074606
672.7845,0.072950
674.6481,0.071683
676.5118,0.070789
678.3755,0.068990
680.2392,0.068928
682.1028,0.070745
683.9665,0.071312
685.8302,0.070520
687.6938,0.068745
689.5575,0.067584
691.4212,0.067784
693.2848,0.067670
695.1485,0.067084
697.0122,0.066938
698.8758,0.066479
700.7395,0.066394
702.6032,0.066087
704.4669,0.065361
706.3305,0.064812
708.1942,0.064244
710.0579,0.062405
711.9215,0.060080
713.7852,0.059538
715.6489,0.059814
717.5125,0.059241
719.3762,0.058725
721.2399,0.058321
723.1035,0.057823
724.9672,0.057154
726.8309,0.056668
728.6945,0.056560
730.5582,0.056176
732.4219,0.055216
734.2856,0.055055
736.1492,0.055281
738.0129,0.054461
739.8766,0.053604
741.7402,0.053691
743.6039,0.054034
745.4676,0.053663
747.3312,0.052956
749.1949,0.052703
751.0586,0.052031
752.9222,0.051297
754.7859,0.050924
756.6496,0.050712
758.5132,0.050598
760.3769,0.050320
762.2406,0.049909
764.1043,0.049494
765.9679,0.048922
767.8316,0.048605
769.6953,0.048244
771.5589,0.047567
773.4226,0.047100
775.2863,0.047159
777.1499,0.046967
779.0136,0.046176
780.8773,0.045769
782.7409,0.045720
784.6046,0.045147
786.4683,0.044835
788.3320,0.044736
790.1956,0.044257
792.0593,0.043663
793.9230,0.043515
795.7866,0.043449
797.6503,0.043113
799.5140,0.042732
801.3776,0.042459
803.2413,0.042264
805.1050,0.042183
806.9686,0.041860
808.8323,0.041305
810.6960,0.040913
812.5596,0.040985
814.4233,0.041035
816.2870,0.040775
818.1507,0.040491
820.0143,0.040110
821.8780,0.039673
823.7417,0.039109
825.6053,0.038762
827.4690,0.038696
829.3327,0.038336
831.1963,0.038105
833.0600,0.037826
834.9237,0.037571
836.7873,0.037235
838.6510,0.036770
840.5147,0.036331
842.3784,0.036073
844.2420,0.035864
846.1057,0.035540
847.9694,0.035303
849.8330,0.035236
851.6967,0.034882
853.5604,0.034697
855.4240,0.034794
857.2877,0.034715
859.1514,0.034570
861.0150,0.034501
862.8787,0.034521
864.7424,0.034604
866.6060,0.034555
868.4697,0.034448
870.3334,0.034497
872.1971,0.034695
874.0607,0.034785
875.9244,0.034595
877.7881,0.034537
879.6517,0.034632
881.5154,0.034206
883.3791,0.033779
885.2427,0.033711
887.1064,0.033724
888.9701,0.033719
890.8337,0.033569
892.6974,0.033533
894.5611,0.033672
896.4247,0.033658
898.2884,0.033531
900.1521,0.033290
902.0158,0.033202
903.8794,0.033110
905.7431,0.032909
907.6068,0.032799
909.4704,0.032860
911.3341,0.032976
913.1978,0.033144
915.0614,0.033429
916.9251,0.033752
918.7888,0.033971
920.6524,0.033945
922.5161,0.033944
924.3798,0.033972
926.2435,0.033992
928.1071,0.034121
929.9708,0.034156
931.8345,0.034076
933.6981,0.034013
935.5618,0.034048
937.4255,0.034223
939.2891,0.034439
941.1528,0.034607
943.0165,0.034768
944.8801,0.034926
946.7438,0.034966
948.6075,0.034847
950.4711,0.034796
952.3348,0.034874
954.1985,0.034915
956.0622,0.035052
957.9258,0.035448
959.7895,0.036024
961.6532,0.036686
963.5168,0.037467
965.3805,0.038300
967.2442,0.038813
969.1078,0.039064
970.9715,0.039153
972.8352,0.039056
974.6988,0.038960
976.5625,0.039142
978.4262,0.039471
980.2899,0.039836
982.1535,0.040334
984.0172,0.040908
985.8809,0.041452
987.7445,0.042067
989.6082,0.042646
991.4719,0.043285
993.3355,0.044093
995.1992,0.044889
997.0629,0.045618
998.9265,0.046423
1000.7902,0.047239
1002.6539,0.048037
1004.5175,0.048806
1006.3812,0.049750
1008.2449,0.050972
1010.1086,0.052327
1011.9722,0.053791
1013.8359,0.055338
1015.6996,0.056831
1017.5632,0.058259
1019.4269,0.059548
1021.2906,0.060598
1023.1542,0.061341
1025.0179,0.061921
1026.8816,0.062454
1028.7452,0.062995
1030.6089,0.063469
1032.4726,0.063757
1034.3362,0.063818
1036.1999,0.063722
1038.0636,0.063544
1039.9273,0.063332
1041.7909,0.063032
1043.6546,0.062644
1045.5183,0.062351
1047.3819,0.062072
1049.2456,0.061810
1051.1093,0.061663
1052.9729,0.061614
1054.8366,0.061637
1056.7003,0.061773
1058.5639,0.061940
1060.4276,0.062117
1062.2913,0.062237
1064.1550,0.062453
1066.0186,0.062742
1067.8823,0.062913
1069.7460,0.062941
1071.6096,0.062767
1073.4733,0.062448
1075.3370,0.061884
1077.2006,0.061085
1079.0643,0.059974
1080.9280,0.058576
1082.7916,0.057115
1084.6553,0.055547
1086.5190,0.054036
1088.3826,0.052776
1090.2463,0.051631
1092.1100,0.050737
1093.9737,0.049983
1095.8373,0.049271
1097.7010,0.048682
1099.5647,0.048200
1101.4283,0.047795
1103.2920,0.047480
1105.1557,0.047340
1107.0193,0.047343
1108.8830,0.047308
1110.7467,0.047304
1112.6103,0.047291
1114.4740,0.047228
1116.3377,0.047013
1118.2014,0.046602
1120.0650,0.046233
1121.9287,0.045964
1123.7924,0.045635
1125.6560,0.045259
1127.5197,0.044786
1129.3834,0.044384
1131.2470,0.043951
1133.1107,0.043413
1134.9744,0.042837
1136.8380,0.042287
1138.7017,0.041918
1140.5654,0.041642
1142.4290,0.041438
1144.2927,0.041373
1146.1564,0.041435
1148.0201,0.041608
1149.8837,0.041808
1151.7474,0.041988
1153.6111,0.042088
1155.4747,0.042133
1157.3384,0.042058
1159.2021,0.041856
1161.0657,0.041632
1162.9294,0.041355
1164.7931,0.040949
1166.6567,0.040469
1168.5204,0.039861
1170.3841,0.039029
1172.2477,0.038056
1174.1114,0.037205
1175.9751,0.036307
1177.8388,0.035452
1179.7024,0.034858
1181.5661,0.034459
1183.4298,0.034246
1185.2934,0.034272
1187.1571,0.034451
1189.0208,0.034658
1190.8844,0.034964
1192.7481,0.035301
1194.6118,0.035793
1196.4754,0.036304
1198.3391,0.036816
1200.2028,0.037370
1202.0665,0.037947
1203.9301,0.038405
1205.7938,0.038807
1207.6575,0.039177
1209.5211,0.039540
1211.3848,0.039870
1213.2485,0.040159
1215.1121,0.040604
1216.9758,0.041181
1218.8395,0.041795
1220.7031,0.042404
1222.5668,0.043045
1224.4305,0.043759
1226.2941,0.044515
1228.1578,0.045111
1230.0215,0.045503
1231.8852,0.045833
1233.7488,0.046112
1235.6125,0.046383
1237.4762,0.046593
1239.3398,0.046570
1241.2035,0.046363
1243.0672,0.046132
1244.9308,0.045777
1246.7945,0.045294
1248.6582,0.044787
1250.5218,0.044448
1252.3855,0.044092
1254.2492,0.043636
1256.1129,0.043199
1257.9765,0.042850
1259.8402,0.042541
1261.7039,0.042234
1263.5675,0.041969
