Wavenumber,Intensity
650.4205,0.157155
652.2841,0.154341
654.1478,0.153058
656.0115,0.150812
657.8751,0.149247
659.7388,0.148340
661.6025,0.148888
663.4661,0.150349
665.3298,0.148354
667.1935,0.148466
669.0571,0.152159
670.9208,0.148033
672.7845,0.144979
674.6481,0.144577
676.5118,0.143604
678.3755,0.141440
680.2392,0.139530
682.1028,0.138631
683.9665,0.137528
685.8302,0.135959
687.6938,0.134909
689.5575,0.134873
691.4212,0.134521
693.2848,0.133065
695.1485,0.131389
697.0122,0.131133
698.8758,0.131233
700.7395,0.130047
702.6032,0.128459
704.4669,0.127176
706.3305,0.125520
708.1942,0.123851
710.0579,0.122177
711.9215,0.120234
713.7852,0.119118
715.6489,0.118633
717.5125,0.117493
719.3762,0.116488
721.2399,0.114897
723.1035,0.112685
724.9672,0.111253
726.8309,0.110518
728.6945,0.109587
730.5582,0.109015
732.4219,0.108740
734.2856,0.107968
736.1492,0.106878
738.0129,0.106632
739.8766,0.106619
741.7402,0.105814
743.6039,0.104585
745.4676,0.103945
747.3312,0.103406
749.1949,0.102335
751.0586,0.100910
752.9222,0.100339
754.7859,0.100068
756.6496,0.099419
758.5132,0.098403
760.3769,0.097560
762.2406,0.097174
764.1043,0.097352
765.9679,0.096983
767.8316,0.096202
769.6953,0.095377
771.5589,0.094177
773.4226,0.093264
775.2863,0.092672
777.1499,0.091827
779.0136,0.091010
780.8773,0.090288
782.7409,0.089576
784.6046,0.088555
786.4683,0.087365
788.3320,0.086291
790.1956,0.085758
792.0593,0.085277
793.9230,0.084468
795.7866,0.083995
797.6503,0.083811
799.5140,0.083447
801.3776,0.083202
803.2413,0.083152
805.1050,0.083030
806.9686,0.082495
808.8323,0.081931
810.6960,0.081414
812.5596,0.081184
814.4233,0.081388
816.2870,0.081254
818.1507,0.080350
820.0143,0.079354
821.8780,0.078031
823.7417,0.076530
825.6053,0.075238
827.4690,0.074051
829.3327,0.072786
831.1963,0.071484
833.0600,0.070359
834.9237,0.069625
836.7873,0.069073
838.6510,0.068166
840.5147,0.066832
842.3784,0.065837
844.2420,0.065114
846.1057,0.064553
847.9694,0.064241
849.8330,0.063747
851.6967,0.063168
853.5604,0.062861
855.4240,0.062766
857.2877,0.062916
859.1514,0.063017
861.0150,0.063156
862.8787,0.063240
864.7424,0.063330
866.6060,0.063637
868.4697,0.063973
870.3334,0.064089
872.1971,0.064176
874.0607,0.064216
875.9244,0.063999
877.7881,0.063574
879.6517,0.063086
881.5154,0.062532
883.3791,0.061937
885.2427,0.061554
887.1064,0.061504
888.9701,0.061491
890.8337,0.061439
892.6974,0.061528
894.5611,0.061540
896.4247,0.061311
898.2884,0.060796
900.1521,0.060085
902.0158,0.059509
903.8794,0.059044
905.7431,0.058611
907.6068,0.058280
