Wavenumber,Intensity
650.4205,0.153732
652.2841,0.149979
654.1478,0.150956
656.0115,0.151002
657.8751,0.150120
659.7388,0.150568
661.6025,0.150121
663.4661,0.146953
665.3298,0.143690
667.1935,0.146088
669.0571,0.150494
670.9208,0.144538
672.7845,0.143233
674.6481,0.143430
676.5118,0.140045
678.3755,0.138092
680.2392,0.138659
682.1028,0.137062
683.9665,0.134679
685.8302,0.133819
687.6938,0.134208
689.5575,0.134326
691.4212,0.132805
693.2848,0.130111
695.1485,0.129636
697.0122,0.129251
698.8758,0.126938
700.7395,0.125620
702.6032,0.126125
704.4669,0.125970
706.3305,0.124095
708.1942,0.121599
710.0579,0.119349
711.9215,0.118223
713.7852,0.117833
715.6489,0.117235
717.5125,0.116320
719.3762,0.114350
721.2399,0.112703
723.1035,0.111776
724.9672,0.110450
726.8309,0.108814
728.6945,0.107496
730.5582,0.106711
732.4219,0.105954
734.2856,0.104737
736.1492,0.104164
738.0129,0.104286
739.8766,0.103906
741.7402,0.103113
743.6039,0.102447
745.4676,0.101608
747.3312,0.100269
749.1949,0.098830
751.0586,0.097553
752.9222,0.096197
754.7859,0.095476
756.6496,0.095359
758.5132,0.094709
760.3769,0.093804
762.2406,0.093434
764.1043,0.093243
765.9679,0.092591
767.8316,0.091855
769.6953,0.091133
771.5589,0.090329
773.4226,0.089650
775.2863,0.089200
777.1499,0.088365
779.0136,0.087270
780.8773,0.086720
782.7409,0.085980
784.6046,0.084883
786.4683,0.083926
788.3320,0.082824
790.1956,0.081717
792.0593,0.080605
793.9230,0.079568
795.7866,0.078886
797.6503,0.078530
799.5140,0.078027
801.3776,0.077520
803.2413,0.077380
805.1050,0.077067
806.9686,0.076312
808.8323,0.075788
810.6960,0.075487
812.5596,0.075256
814.4233,0.074901
816.2870,0.074500
818.1507,0.074192
820.0143,0.073488
821.8780,0.072434
823.7417,0.071506
825.6053,0.070511
827.4690,0.069382
829.3327,0.068347
831.1963,0.067512
833.0600,0.066908
834.9237,0.066534
836.7873,0.066023
838.6510,0.065146
840.5147,0.064523
842.3784,0.064239
844.2420,0.063605
846.1057,0.063037
847.9694,0.062773
849.8330,0.062478
851.6967,0.062303
853.5604,0.062145
855.4240,0.061942
857.2877,0.061733
859.1514,0.061548
861.0150,0.061811
862.8787,0.062140
864.7424,0.062030
866.6060,0.061969
868.4697,0.062259
870.3334,0.062437
872.1971,0.062413
874.0607,0.062351
875.9244,0.062192
877.7881,0.061784
879.6517,0.061240
881.5154,0.060374
883.3791,0.059552
885.2427,0.058975
887.1064,0.058356
888.9701,0.058024
890.8337,0.058081
892.6974,0.057966
894.5611,0.057625
896.4247,0.057230
898.2884,0.056603
900.1521,0.055986
902.0158,0.055580
903.8794,0.055035
