Wavenumber,Intensity
650.4205,0.110496
652.2841,0.107692
654.1478,0.110339
656.0115,0.111665
657.8751,0.110529
659.7388,0.112060
661.6025,0.113134
663.4661,0.109488
665.3298,0.106140
667.1935,0.105626
669.0571,0.108322
670.9208,0.107097
672.7845,0.106134
674.6481,0.104985
676.5118,0.104766
678.3755,0.104166
680.2392,0.102323
682.1028,0.101907
683.9665,0.102342
685.8302,0.103066
687.6938,0.102878
689.5575,0.100639
691.4212,0.099782
693.2848,0.099738
695.1485,0.098849
697.0122,0.097592
698.8758,0.097354
700.7395,0.097839
702.6032,0.097778
704.4669,0.096658
706.3305,0.094759
708.1942,0.092857
710.0579,0.091253
711.9215,0.090698
713.7852,0.090579
715.6489,0.089496
717.5125,0.088938
719.3762,0.088769
721.2399,0.087820
723.1035,0.087057
724.9672,0.086060
726.8309,0.084526
728.6945,0.083962
730.5582,0.083878
732.4219,0.083707
734.2856,0.084015
736.1492,0.084044
738.0129,0.083443
739.8766,0.083352
741.7402,0.083342
743.6039,0.083069
745.4676,0.082469
747.3312,0.081544
749.1949,0.081268
751.0586,0.081016
752.9222,0.080316
754.7859,0.079869
756.6496,0.079559
758.5132,0.079307
760.3769,0.079062
762.2406,0.078743
764.1043,0.078878
765.9679,0.079074
767.8316,0.078421
769.6953,0.077358
771.5589,0.076802
773.4226,0.076465
775.2863,0.076005
777.1499,0.075628
779.0136,0.075207
780.8773,0.074744
782.7409,0.074309
784.6046,0.073884
786.4683,0.073123
788.3320,0.072426
790.1956,0.072590
792.0593,0.072207
793.9230,0.071420
795.7866,0.071533
797.6503,0.071613
799.5140,0.071625
801.3776,0.071922
803.2413,0.071727
805.1050,0.071440
806.9686,0.071484
808.8323,0.071454
810.6960,0.071269
812.5596,0.071034
814.4233,0.070902
816.2870,0.070953
818.1507,0.070723
820.0143,0.069825
821.8780,0.068683
823.7417,0.067839
825.6053,0.067372
827.4690,0.067013
829.3327,0.066162
831.1963,0.065304
833.0600,0.064894
834.9237,0.064492
836.7873,0.063797
838.6510,0.063240
840.5147,0.062927
842.3784,0.062398
844.2420,0.061974
846.1057,0.062007
847.9694,0.062289
849.8330,0.062389
851.6967,0.062307
853.5604,0.062486
855.4240,0.062956
857.2877,0.063435
859.1514,0.063544
861.0150,0.063562
862.8787,0.063763
864.7424,0.064216
866.6060,0.064688
868.4697,0.065217
870.3334,0.065746
872.1971,0.066018
874.0607,0.066013
875.9244,0.065883
877.7881,0.065829
879.6517,0.065747
881.5154,0.065730
883.3791,0.065799
885.2427,0.065778
887.1064,0.065855
888.9701,0.065973
890.8337,0.066153
892.6974,0.066191
894.5611,0.066265
896.4247,0.066487
898.2884,0.066403
900.1521,0.066046
902.0158,0.065980
903.8794,0.066143
905.7431,0.066258
907.6068,0.066417
909.4704,0.066627
911.3341,0.067009
913.1978,0.067549
915.0614,0.068094
916.9251,0.068474
918.7888,0.068784
920.6524,0.069164
922.5161,0.069237
924.3798,0.069143
926.2435,0.069262
928.1071,0.069412
929.9708,0.069677
931.8345,0.070132
933.6981,0.070488
935.5618,0.070824
937.4255,0.071374
939.2891,0.072129
941.1528,0.072966
943.0165,0.073828
944.8801,0.074478
946.7438,0.075021
948.6075,0.075664
950.4711,0.076428
952.3348,0.077201
954.1985,0.078093
956.0622,0.079150
957.9258,0.080431
959.7895,0.081959
961.6532,0.083643
963.5168,0.085012
965.3805,0.085965
967.2442,0.086641
969.1078,0.086864
970.9715,0.086659
972.8352,0.086531
974.6988,0.086753
976.5625,0.087293
978.4262,0.088177
980.2899,0.089319
982.1535,0.090413
984.0172,0.091588
985.8809,0.092986
987.7445,0.094428
989.6082,0.095840
991.4719,0.097300
993.3355,0.098827
995.1992,0.100319
997.0629,0.101657
998.9265,0.102877
1000.7902,0.104091
1002.6539,0.105500
1004.5175,0.107132
1006.3812,0.108958
1008.2449,0.111010
1010.1086,0.113271
1011.9722,0.115561
1013.8359,0.117731
1015.6996,0.119745
