Wavenumber,Intensity
650.4205,0.056708
652.2841,0.054881
654.1478,0.052060
656.0115,0.050261
657.8751,0.047947
659.7388,0.049568
661.6025,0.052472
663.4661,0.051465
665.3298,0.049835
667.1935,0.049441
669.0571,0.049215
670.9208,0.048734
672.7845,0.048390
674.6481,0.048812
676.5118,0.048305
678.3755,0.047214
680.2392,0.046636
682.1028,0.045789
683.9665,0.045720
685.8302,0.046510
687.6938,0.045609
689.5575,0.044103
691.4212,0.044123
693.2848,0.044802
695.1485,0.044459
697.0122,0.043338
698.8758,0.042826
700.7395,0.042857
702.6032,0.042733
704.4669,0.042570
706.3305,0.041674
708.1942,0.040546
710.0579,0.040035
711.9215,0.039232
713.7852,0.038548
715.6489,0.038264
717.5125,0.038027
719.3762,0.037778
721.2399,0.037184
723.1035,0.036180
724.9672,0.035601
726.8309,0.035195
728.6945,0.034350
730.5582,0.034236
732.4219,0.034718
734.2856,0.034233
736.1492,0.033827
738.0129,0.034191
739.8766,0.034382
741.7402,0.034252
743.6039,0.034143
745.4676,0.033803
747.3312,0.033290
749.1949,0.032699
751.0586,0.031787
752.9222,0.031611
754.7859,0.031915
756.6496,0.031570
758.5132,0.030790
760.3769,0.030762
762.2406,0.031119
764.1043,0.031153
765.9679,0.030943
767.8316,0.030316
769.6953,0.030006
771.5589,0.030317
773.4226,0.030600
775.2863,0.030292
777.1499,0.029788
779.0136,0.029539
780.8773,0.029486
782.7409,0.029200
784.6046,0.028738
786.4683,0.028683
788.3320,0.028404
790.1956,0.027986
792.0593,0.027920
793.9230,0.027970
795.7866,0.028059
797.6503,0.028407
799.5140,0.028335
801.3776,0.028096
803.2413,0.027912
805.1050,0.027804
806.9686,0.027888
808.8323,0.027907
810.6960,0.027871
812.5596,0.027674
814.4233,0.027204
816.2870,0.027002
818.1507,0.027052
820.0143,0.026813
821.8780,0.026226
823.7417,0.026062
825.6053,0.025980
827.4690,0.025822
829.3327,0.025557
831.1963,0.025260
833.0600,0.024872
834.9237,0.024305
836.7873,0.023865
838.6510,0.023906
840.5147,0.024023
842.3784,0.023923
844.2420,0.023845
846.1057,0.023886
847.9694,0.023752
849.8330,0.023453
851.6967,0.023666
853.5604,0.023754
855.4240,0.023678
857.2877,0.023722
859.1514,0.023768
861.0150,0.024139
862.8787,0.024437
864.7424,0.024587
866.6060,0.024755
868.4697,0.024746
870.3334,0.024912
872.1971,0.025175
874.0607,0.025093
875.9244,0.025106
877.7881,0.025146
879.6517,0.025159
881.5154,0.025220
883.3791,0.025308
885.2427,0.025158
887.1064,0.025128
888.9701,0.025359
890.8337,0.025499
892.6974,0.025510
894.5611,0.025500
