Wavenumber,Intensity
650.4205,-0.006630
652.2841,-0.006737
654.1478,-0.006875
656.0115,-0.006877
657.8751,-0.006581
659.7388,-0.006748
661.6025,-0.006565
663.4661,-0.005935
665.3298,-0.005628
667.1935,-0.007238
669.0571,-0.008866
670.9208,-0.005891
672.7845,-0.005515
674.6481,-0.005511
676.5118,-0.004756
678.3755,-0.004092
680.2392,-0.004212
682.1028,-0.004271
683.9665,-0.004465
685.8302,-0.004522
687.6938,-0.004327
689.5575,-0.003861
691.4212,-0.003810
693.2848,-0.003747
695.1485,-0.003462
697.0122,-0.003970
698.8758,-0.004335
700.7395,-0.003486
702.6032,-0.003203
704.4669,-0.003127
706.3305,-0.003335
708.1942,-0.003441
710.0579,-0.003161
711.9215,-0.003009
713.7852,-0.003097
715.6489,-0.003065
717.5125,-0.002988
719.3762,-0.002899
721.2399,-0.002978
723.1035,-0.003127
724.9672,-0.003337
726.8309,-0.002904
728.6945,-0.002596
730.5582,-0.002649
732.4219,-0.002735
734.2856,-0.002784
736.1492,-0.002690
738.0129,-0.002625
739.8766,-0.002659
741.7402,-0.002477
743.6039,-0.002441
745.4676,-0.002702
747.3312,-0.002571
749.1949,-0.002330
751.0586,-0.002466
752.9222,-0.002661
754.7859,-0.002812
756.6496,-0.002858
758.5132,-0.002611
760.3769,-0.002350
762.2406,-0.002336
764.1043,-0.002289
765.9679,-0.002193
767.8316,-0.002359
769.6953,-0.002482
771.5589,-0.002479
773.4226,-0.002570
775.2863,-0.002637
777.1499,-0.002530
779.0136,-0.002435
780.8773,-0.002599
782.7409,-0.002875
784.6046,-0.002907
786.4683,-0.002797
788.3320,-0.002768
790.1956,-0.002775
792.0593,-0.002781
793.9230,-0.002791
795.7866,-0.002962
797.6503,-0.002889
799.5140,-0.002767
801.3776,-0.002889
803.2413,-0.002978
805.1050,-0.003025
806.9686,-0.003060
808.8323,-0.003208
810.6960,-0.003279
812.5596,-0.003229
814.4233,-0.003170
816.2870,-0.003186
818.1507,-0.003220
820.0143,-0.003185
821.8780,-0.003101
823.7417,-0.003102
825.6053,-0.003172
827.4690,-0.003229
829.3327,-0.003277
831.1963,-0.003257
833.0600,-0.003213
834.9237,-0.003290
836.7873,-0.003394
838.6510,-0.003426
840.5147,-0.003415
842.3784,-0.003413
844.2420,-0.003362
846.1057,-0.003337
847.9694,-0.003392
849.8330,-0.003427
851.6967,-0.003383
853.5604,-0.003301
855.4240,-0.003197
857.2877,-0.003161
859.1514,-0.003227
861.0150,-0.003329
862.8787,-0.003374
864.7424,-0.003410
866.6060,-0.003424
868.4697,-0.003399
870.3334,-0.003438
872.1971,-0.003481
874.0607,-0.003455
875.9244,-0.003436
877.7881,-0.003488
879.6517,-0.003539
881.5154,-0.003498
883.3791,-0.003465
885.2427,-0.003449
887.1064,-0.003414
888.9701,-0.003414
890.8337,-0.003425
892.6974,-0.003443
894.5611,-0.003418
896.4247,-0.003415
898.2884,-0.003485
900.1521,-0.003527
902.0158,-0.003486
903.8794,-0.003378
905.7431,-0.003266
907.6068,-0.003297
909.4704,-0.003359
911.3341,-0.003324
913.1978,-0.003291
915.0614,-0.003283
916.9251,-0.003282
918.7888,-0.003271
920.6524,-0.003287
922.5161,-0.003244
924.3798,-0.003212
926.2435,-0.003179
928.1071,-0.003171
929.9708,-0.003214
931.8345,-0.003186
933.6981,-0.003124
935.5618,-0.003081
937.4255,-0.003035
939.2891,-0.002991
941.1528,-0.003010
943.0165,-0.003003
944.8801,-0.002978
946.7438,-0.002911
948.6075,-0.002809
950.4711,-0.002768
952.3348,-0.002797
954.1985,-0.002805
956.0622,-0.002777
957.9258,-0.002729
959.7895,-0.002708
961.6532,-0.002681
963.5168,-0.002601
965.3805,-0.002519
967.2442,-0.002516
969.1078,-0.002511
970.9715,-0.002479
972.8352,-0.002418
974.6988,-0.002370
976.5625,-0.002305
978.4262,-0.002220
980.2899,-0.002185
982.1535,-0.002172
984.0172,-0.002130
985.8809,-0.002060
987.7445,-0.002014
989.6082,-0.001934
991.4719,-0.001876
993.3355,-0.001832
995.1992,-0.001768
997.0629,-0.001727
998.9265,-0.001652
1000.7902,-0.001588
1002.6539,-0.001606
1004.5175,-0.001591
1006.3812,-0.001475
1008.2449,-0.001380
1010.1086,-0.001343
1011.9722,-0.001314
1013.8359,-0.001243
1015.6996,-0.001184
1017.5632,-0.001151
1019.4269,-0.001096
1021.2906,-0.001049
1023.1542,-0.001013
1025.0179,-0.000987
1026.8816,-0.000975
1028.7452,-0.000935
1030.6089,-0.000871
1032.4726,-0.000812
1034.3362,-0.000799
1036.1999,-0.000802
1038.0636,-0.000786
1039.9273,-0.000753
1041.7909,-0.000721
1043.6546,-0.000713
1045.5183,-0.000681
1047.3819,-0.000626
1049.2456,-0.000579
1051.1093,-0.000570
1052.9729,-0.000630
1054.8366,-0.000633
1056.7003,-0.000575
1058.5639,-0.000552
1060.4276,-0.000571
1062.2913,-0.000546
1064.1550,-0.000520
1066.0186,-0.000554
1067.8823,-0.000533
1069.7460,-0.000495
1071.6096,-0.000478
1073.4733,-0.000450
1075.3370,-0.000466
1077.2006,-0.000482
1079.0643,-0.000483
1080.9280,-0.000459
1082.7916,-0.000437
1084.6553,-0.000457
1086.5190,-0.000454
1088.3826,-0.000412
1090.2463,-0.000399
1092.1100,-0.000384
1093.9737,-0.000379
1095.8373,-0.000393
1097.7010,-0.000381
1099.5647,-0.000383
1101.4283,-0.000414
1103.2920,-0.000424
1105.1557,-0.000435
1107.0193,-0.000448
1108.8830,-0.000442
1110.7467,-0.000460
1112.6103,-0.000484
1114.4740,-0.000498
1116.3377,-0.000510
1118.2014,-0.000516
1120.0650,-0.000521
1121.9287,-0.000527
1123.7924,-0.000535
1125.6560,-0.000540
1127.5197,-0.000557
1129.3834,-0.000587
1131.2470,-0.000614
1133.1107,-0.000613
1134.9744,-0.000629
1136.8380,-0.000656
1138.7017,-0.000668
1140.5654,-0.000672
1142.4290,-0.000669
1144.2927,-0.000656
1146.1564,-0.000675
1148.0201,-0.000706
1149.8837,-0.000746
1151.7474,-0.000753
1153.6111,-0.000750
1155.4747,-0.000779
1157.3384,-0.000808
1159.2021,-0.000772
1161.0657,-0.000748
1162.9294,-0.000791
1164.7931,-0.000810
1166.6567,-0.000858
1168.5204,-0.000864
