Wavenumber,Intensity
650.4205,0.016330
652.2841,0.015892
654.1478,0.016688
656.0115,0.015821
657.8751,0.015638
659.7388,0.016089
661.6025,0.014905
663.4661,0.013926
665.3298,0.014153
667.1935,0.014268
669.0571,0.014863
670.9208,0.015332
672.7845,0.014587
674.6481,0.014775
676.5118,0.015699
678.3755,0.015962
680.2392,0.016114
682.1028,0.015158
683.9665,0.012828
685.8302,0.010880
687.6938,0.010454
689.5575,0.011758
691.4212,0.013229
693.2848,0.013300
695.1485,0.012737
697.0122,0.013174
698.8758,0.013643
700.7395,0.012678
702.6032,0.011945
704.4669,0.011697
706.3305,0.011538
708.1942,0.011729
710.0579,0.011496
711.9215,0.010380
713.7852,0.009817
715.6489,0.010289
717.5125,0.010252
719.3762,0.010202
721.2399,0.009687
723.1035,0.009078
724.9672,0.009229
726.8309,0.009528
728.6945,0.009432
730.5582,0.008760
732.4219,0.008098
734.2856,0.008317
736.1492,0.009011
738.0129,0.008969
739.8766,0.008334
741.7402,0.008004
743.6039,0.007936
745.4676,0.007954
747.3312,0.008035
749.1949,0.008093
751.0586,0.007961
752.9222,0.007642
754.7859,0.007415
756.6496,0.007498
758.5132,0.007515
760.3769,0.007648
762.2406,0.007545
764.1043,0.007008
765.9679,0.006975
767.8316,0.007039
769.6953,0.006966
771.5589,0.006822
773.4226,0.006643
775.2863,0.006495
777.1499,0.006288
779.0136,0.006204
780.8773,0.006090
782.7409,0.006014
784.6046,0.006078
786.4683,0.005782
788.3320,0.005340
790.1956,0.005027
792.0593,0.004907
793.9230,0.005112
795.7866,0.005424
797.6503,0.005186
799.5140,0.004871
801.3776,0.004899
803.2413,0.004665
805.1050,0.004618
806.9686,0.004840
808.8323,0.004558
810.6960,0.004297
812.5596,0.004678
814.4233,0.005039
816.2870,0.004804
818.1507,0.004247
820.0143,0.003963
821.8780,0.004031
823.7417,0.004153
825.6053,0.003893
827.4690,0.003458
829.3327,0.003342
831.1963,0.003352
833.0600,0.003306
834.9237,0.003135
836.7873,0.003166
838.6510,0.003153
840.5147,0.002969
842.3784,0.002814
844.2420,0.002559
846.1057,0.002598
847.9694,0.002874
849.8330,0.002941
851.6967,0.002720
853.5604,0.002381
855.4240,0.002365
857.2877,0.002654
859.1514,0.003032
861.0150,0.003116
862.8787,0.003102
864.7424,0.003222
866.6060,0.003130
868.4697,0.003055
870.3334,0.003193
872.1971,0.003323
874.0607,0.003426
875.9244,0.003561
877.7881,0.003455
879.6517,0.003296
881.5154,0.003366
883.3791,0.003224
885.2427,0.003068
887.1064,0.003046
888.9701,0.003115
890.8337,0.003128
892.6974,0.003140
894.5611,0.003145
896.4247,0.003172
898.2884,0.003232
900.1521,0.003180
902.0158,0.003224
903.8794,0.003253
905.7431,0.003216
907.6068,0.003166
909.4704,0.003289
911.3341,0.003469
913.1978,0.003515
915.0614,0.003554
916.9251,0.003711
918.7888,0.003748
920.6524,0.003804
922.5161,0.003836
924.3798,0.003815
926.2435,0.003871
928.1071,0.003964
929.9708,0.004012
931.8345,0.004018
933.6981,0.004139
935.5618,0.004269
937.4255,0.004200
939.2891,0.004214
941.1528,0.004611
943.0165,0.004914
944.8801,0.005041
946.7438,0.005130
948.6075,0.005182
950.4711,0.005209
952.3348,0.005150
954.1985,0.005112
956.0622,0.005301
957.9258,0.005565
959.7895,0.005913
961.6532,0.006333
963.5168,0.006693
965.3805,0.007000
967.2442,0.007208
969.1078,0.007267
970.9715,0.007128
972.8352,0.007127
974.6988,0.007195
976.5625,0.007251
978.4262,0.007371
980.2899,0.007446
982.1535,0.007689
984.0172,0.008094
985.8809,0.008407
987.7445,0.008693
989.6082,0.008985
991.4719,0.009191
993.3355,0.009456
995.1992,0.009869
997.0629,0.010239
998.9265,0.010427
1000.7902,0.010672
1002.6539,0.010926
1004.5175,0.011224
1006.3812,0.011701
1008.2449,0.012253
1010.1086,0.012787
1011.9722,0.013295
1013.8359,0.013880
1015.6996,0.014439
1017.5632,0.014872
1019.4269,0.015178
1021.2906,0.015466
1023.1542,0.015820
1025.0179,0.016035
1026.8816,0.016144
1028.7452,0.016274
1030.6089,0.016408
1032.4726,0.016556
1034.3362,0.016696
1036.1999,0.016693
1038.0636,0.016611
1039.9273,0.016554
1041.7909,0.016474
1043.6546,0.016276
1045.5183,0.016093
1047.3819,0.016021
1049.2456,0.016069
1051.1093,0.016087
1052.9729,0.016186
1054.8366,0.016260
1056.7003,0.016150
1058.5639,0.016084
1060.4276,0.016108
1062.2913,0.016152
1064.1550,0.016293
1066.0186,0.016359
1067.8823,0.016429
1069.7460,0.016426
1071.6096,0.016237
1073.4733,0.016052
1075.3370,0.015854
1077.2006,0.015523
1079.0643,0.015043
1080.9280,0.014487
1082.7916,0.013886
1084.6553,0.013227
1086.5190,0.012624
1088.3826,0.012102
1090.2463,0.011663
1092.1100,0.011411
1093.9737,0.011136
1095.8373,0.010741
1097.7010,0.010393
1099.5647,0.010136
1101.4283,0.009975
1103.2920,0.009929
1105.1557,0.009897
1107.0193,0.009724
1108.8830,0.009604
1110.7467,0.009623
1112.6103,0.009619
1114.4740,0.009574
1116.3377,0.009497
1118.2014,0.009363
1120.0650,0.009256
1121.9287,0.009116
1123.7924,0.009017
1125.6560,0.008949
1127.5197,0.008817
1129.3834,0.008643
1131.2470,0.008396
1133.1107,0.008103
1134.9744,0.007885
1136.8380,0.007761
1138.7017,0.007603
1140.5654,0.007436
1142.4290,0.007359
1144.2927,0.007344
1146.1564,0.007341
1148.0201,0.007277
1149.8837,0.007282
1151.7474,0.007338
1153.6111,0.007411
1155.4747,0.007492
1157.3384,0.007486
1159.2021,0.007348
1161.0657,0.007171
1162.9294,0.007014
1164.7931,0.007019
1166.6567,0.006931
1168.5204,0.006542
1170.3841,0.006091
1172.2477,0.005605
1174.1114,0.005209
1175.9751,0.004911
1177.8388,0.004568
1179.7024,0.004209
1181.5661,0.004050
1183.4298,0.004059
1185.2934,0.004089
1187.1571,0.004090
1189.0208,0.004109
1190.8844,0.004227
1192.7481,0.004365
1194.6118,0.004534
1196.4754,0.004805
1198.3391,0.005089
1200.2028,0.005269
1202.0665,0.005486
1203.9301,0.005781
1205.7938,0.005947
1207.6575,0.006069
1209.5211,0.006251
1211.3848,0.006493
1213.2485,0.006617
1215.1121,0.006725
1216.9758,0.006848
1218.8395,0.007016
1220.7031,0.007238
1222.5668,0.007434
1224.4305,0.007606
1226.2941,0.007791
1228.1578,0.007916
1230.0215,0.007931
1231.8852,0.007884
1233.7488,0.007989
1235.6125,0.008083
1237.4762,0.008004
1239.3398,0.007846
1241.2035,0.007737
1243.0672,0.007666
1244.9308,0.007542
1246.7945,0.007421
1248.6582,0.007256
1250.5218,0.007057
1252.3855,0.006848
1254.2492,0.006653
1256.1129,0.006555
1257.9765,0.006371
1259.8402,0.006229
1261.7039,0.006205
1263.5675,0.006086
1265.4312,0.005895
1267.2949,0.005826
1269.1585,0.005838
1271.0222,0.005807
1272.8859,0.005723
1274.7495,0.005612
1276.6132,0.005570
1278.4769,0.005564
1280.3405,0.005547
1282.2042,0.005484
1284.0679,0.005419
1285.9316,0.005404
1287.7952,0.005418
1289.6589,0.005431
1291.5226,0.005332
1293.3862,0.005261
1295.2499,0.005243
1297.1136,0.005336
1298.9772,0.005463
1300.8409,0.005552
1302.7046,0.005656
1304.5682,0.005690
1306.4319,0.005689
1308.2956,0.005737
1310.1592,0.005854
1312.0229,0.005958
1313.8866,0.005854
1315.7503,0.005695
1317.6139,0.005658
1319.4776,0.005564
1321.3413,0.005412
1323.2049,0.005321
1325.0686,0.005203
1326.9323,0.005141
1328.7959,0.005098
1330.6596,0.005086
1332.5233,0.005124
1334.3869,0.005068
1336.2506,0.005183
1338.1143,0.005295
1339.9780,0.005189
1341.8416,0.005177
1343.7053,0.005183
1345.5690,0.005210
1347.4326,0.005193
1349.2963,0.005127
1351.1600,0.005151
1353.0236,0.005217
1354.8873,0.005278
1356.7510,0.005341
1358.6146,0.005340
1360.4783,0.005513
1362.3420,0.005832
1364.2056,0.006152
1366.0693,0.006417
1367.9330,0.006733
1369.7967,0.006935
1371.6603,0.007073
1373.5240,0.007336
1375.3877,0.007451
1377.2513,0.007360
1379.1150,0.007453
1380.9787,0.007561
1382.8423,0.007691
1384.7060,0.007727
1386.5697,0.007774
1388.4333,0.007773
1390.2970,0.007653
1392.1607,0.007598
1394.0244,0.007690
1395.8880,0.007725
1397.7517,0.007593
