Wavenumber,Intensity
650.4205,0.269446
652.2841,0.271303
654.1478,0.271345
656.0115,0.270546
657.8751,0.268729
659.7388,0.266485
661.6025,0.263244
663.4661,0.261257
665.3298,0.260196
667.1935,0.260815
669.0571,0.260031
670.9208,0.260418
672.7845,0.260421
674.6481,0.259412
676.5118,0.258410
678.3755,0.258443
680.2392,0.255872
682.1028,0.253340
683.9665,0.250529
685.8302,0.249108
687.6938,0.248806
689.5575,0.248381
691.4212,0.247610
693.2848,0.245321
695.1485,0.243510
697.0122,0.244133
698.8758,0.243740
700.7395,0.241743
702.6032,0.238481
704.4669,0.237297
706.3305,0.236399
708.1942,0.235361
710.0579,0.234179
711.9215,0.233330
713.7852,0.231672
715.6489,0.229699
717.5125,0.227379
719.3762,0.225516
721.2399,0.224499
723.1035,0.223759
724.9672,0.221882
726.8309,0.219865
728.6945,0.218033
730.5582,0.216724
732.4219,0.215026
734.2856,0.213448
736.1492,0.212472
738.0129,0.211579
739.8766,0.209903
741.7402,0.208659
743.6039,0.207645
745.4676,0.206507
747.3312,0.204885
749.1949,0.203830
751.0586,0.202847
752.9222,0.201360
754.7859,0.199093
756.6496,0.197514
758.5132,0.196227
760.3769,0.194939
762.2406,0.194416
764.1043,0.193936
765.9679,0.192749
767.8316,0.191778
769.6953,0.189994
771.5589,0.188013
773.4226,0.185801
775.2863,0.183724
777.1499,0.182085
779.0136,0.180861
780.8773,0.179510
782.7409,0.177843
784.6046,0.175890
786.4683,0.174121
788.3320,0.172265
790.1956,0.170790
792.0593,0.169548
793.9230,0.168461
795.7866,0.166893
797.6503,0.165300
799.5140,0.163782
801.3776,0.162576
803.2413,0.161344
805.1050,0.159997
806.9686,0.159094
808.8323,0.158459
810.6960,0.157194
812.5596,0.156035
814.4233,0.155251
816.2870,0.154268
818.1507,0.152859
820.0143,0.151181
821.8780,0.149221
823.7417,0.147261
825.6053,0.145074
827.4690,0.142691
829.3327,0.140747
831.1963,0.139089
833.0600,0.137145
834.9237,0.135394
836.7873,0.133934
838.6510,0.132740
840.5147,0.131333
842.3784,0.129668
844.2420,0.128129
846.1057,0.127212
847.9694,0.126305
849.8330,0.125306
851.6967,0.124343
853.5604,0.123375
855.4240,0.122208
857.2877,0.121466
859.1514,0.120868
861.0150,0.120023
862.8787,0.119177
864.7424,0.118739
866.6060,0.118421
868.4697,0.118188
870.3334,0.117672
872.1971,0.116601
874.0607,0.115347
875.9244,0.114144
877.7881,0.112825
879.6517,0.111183
881.5154,0.109379
883.3791,0.107940
885.2427,0.106518
887.1064,0.105175
888.9701,0.104164
890.8337,0.103427
892.6974,0.102763
894.5611,0.102216
896.4247,0.101445
898.2884,0.100594
900.1521,0.099488
902.0158,0.098103
903.8794,0.096876
905.7431,0.096043
907.6068,0.095476
909.4704,0.095044
911.3341,0.094853
913.1978,0.095025
915.0614,0.095396
916.9251,0.095684
918.7888,0.095816
920.6524,0.095953
922.5161,0.096008
924.3798,0.096124
926.2435,0.096218
928.1071,0.096337
929.9708,0.096292
931.8345,0.096104
933.6981,0.095891
935.5618,0.095883
937.4255,0.096169
939.2891,0.096627
941.1528,0.097107
943.0165,0.097838
944.8801,0.098507
946.7438,0.098645
948.6075,0.098089
950.4711,0.097095
952.3348,0.095966
954.1985,0.095155
956.0622,0.094856
957.9258,0.094931
959.7895,0.095741
961.6532,0.097323
963.5168,0.099289
965.3805,0.101574
967.2442,0.103725
969.1078,0.105254
970.9715,0.105888
972.8352,0.106353
974.6988,0.107227
976.5625,0.108683
978.4262,0.110861
980.2899,0.113690
982.1535,0.116975
984.0172,0.120185
985.8809,0.122909
987.7445,0.124866
989.6082,0.126016
991.4719,0.126471
993.3355,0.126565
995.1992,0.126834
997.0629,0.127195
998.9265,0.127602
1000.7902,0.127999
1002.6539,0.128350
1004.5175,0.128954
1006.3812,0.130535
1008.2449,0.133263
1010.1086,0.136987
1011.9722,0.141596
1013.8359,0.146945
1015.6996,0.152698
1017.5632,0.158310
1019.4269,0.163442
1021.2906,0.167641
1023.1542,0.170750
1025.0179,0.173517
1026.8816,0.176427
1028.7452,0.179584
1030.6089,0.182809
1032.4726,0.185684
1034.3362,0.187793
1036.1999,0.189094
