m/z;Abund
59.1;5598.17
71;2659.74
72;7147.53
72.9;5381.95
73;16405.29
86;3755.44
87.9;21616.03
88.8;3124.3
89;9640.89
90.9;3515.26
98;2980.87
98.1;3502.77
99;3150.69
100;6667.01
100.1;38404.69
101;12492.16
103;2734.64
109;2834.99
110;3356.81
111;4910.23
112.1;3112.2
113.9;7339.24
114;12482.72
115;4825.78
115.8;3764.38
115.9;14001.13
117.1;9357.07
118.9;6379.01
121.1;5399.97
122.9;4542.17
128.9;3379.94
129;5264.81
130.9;6132.9
131;4547.25
132.9;5476.71
133;3360.04
135;3673.2
137;2895.5
143;6453.88
143.1;5416.83
144.9;2790.64
148.9;3159
149;3453.56
172.9;4397.01
175;3222.61
199.2;7765.26
209.1;4566.78
211.1;6842.96
215.1;3747.62
225.1;17029.18
225.2;21198.38
226.1;4028.84
226.2;3817.59
227;4427.63
227.1;17080.76
230.9;3226.6
245;2571.94
249;3146.41
249.2;9114.8
257.1;2828.89
273;3926.74
273.1;28826.87
274.1;6836.31
279.1;2747.65
285.2;6110.43
289.1;3241.05
311.1;2626.37
317.1;3616.12
331.2;45755.8
331.3;5568.81
332.3;6825.37
340.2;6820.13
340.3;9951.69
341.2;3026.49
347.1;4200.4
347.2;6633.58
352.1;3782.52
362.2;6719.16
389.2;39098.04
389.3;22039.49
390.3;10553.14
391.3;3058.35
405.2;19217.76
406.1;4071.91
433.3;4459.88
447.3;23316.68
447.4;7329.25
448.2;2917.77
448.3;5605.74
449.3;4161.07
453.3;7578.26
453.4;7275.7
463.2;5156.76
463.3;16955.8
464.3;4932.98
465.1;2824.62
473.3;4333.27
475.3;4267.23
479.3;3509.54
521.3;2649.44
