Wavenumber,Intensity
650.4205,0.074226
652.2841,0.079007
654.1478,0.078537
656.0115,0.071655
657.8751,0.068385
659.7388,0.071353
661.6025,0.073323
663.4661,0.070907
665.3298,0.069330
667.1935,0.071557
669.0571,0.074091
670.9208,0.070781
672.7845,0.069422
674.6481,0.070172
676.5118,0.068478
678.3755,0.067313
680.2392,0.067648
682.1028,0.068412
683.9665,0.068059
685.8302,0.065575
687.6938,0.063887
689.5575,0.063431
691.4212,0.062341
693.2848,0.062616
695.1485,0.063419
697.0122,0.063428
698.8758,0.062680
700.7395,0.061963
702.6032,0.062302
704.4669,0.061834
706.3305,0.059898
708.1942,0.057760
710.0579,0.056487
711.9215,0.055051
713.7852,0.054756
715.6489,0.055875
717.5125,0.056018
719.3762,0.054172
721.2399,0.052862
723.1035,0.053277
724.9672,0.053070
726.8309,0.052185
728.6945,0.051390
730.5582,0.051308
732.4219,0.051308
734.2856,0.050630
736.1492,0.050251
738.0129,0.049940
739.8766,0.049786
741.7402,0.049845
743.6039,0.049869
745.4676,0.049894
747.3312,0.048803
749.1949,0.047793
751.0586,0.047569
752.9222,0.046920
754.7859,0.046530
756.6496,0.046067
758.5132,0.045896
760.3769,0.045706
762.2406,0.045324
764.1043,0.044569
765.9679,0.044204
767.8316,0.044004
769.6953,0.043689
771.5589,0.043301
773.4226,0.042827
775.2863,0.042591
777.1499,0.042608
779.0136,0.042392
780.8773,0.042024
782.7409,0.041736
784.6046,0.041564
786.4683,0.041146
788.3320,0.040528
790.1956,0.040095
792.0593,0.039819
793.9230,0.039476
795.7866,0.039176
797.6503,0.039084
799.5140,0.039122
801.3776,0.038983
803.2413,0.038561
805.1050,0.038205
806.9686,0.038114
808.8323,0.038448
810.6960,0.038643
812.5596,0.038045
814.4233,0.037702
816.2870,0.037647
818.1507,0.037504
820.0143,0.037727
821.8780,0.037920
823.7417,0.038119
825.6053,0.038200
827.4690,0.037729
829.3327,0.037594
831.1963,0.037394
833.0600,0.036605
834.9237,0.035808
836.7873,0.035072
838.6510,0.034899
840.5147,0.034848
842.3784,0.034445
844.2420,0.034232
846.1057,0.034115
847.9694,0.033970
849.8330,0.034058
851.6967,0.034383
853.5604,0.034362
855.4240,0.033866
857.2877,0.033867
859.1514,0.033837
861.0150,0.033790
862.8787,0.033801
864.7424,0.033832
866.6060,0.033644
868.4697,0.033891
870.3334,0.034294
872.1971,0.034324
874.0607,0.034452
875.9244,0.034560
877.7881,0.034415
879.6517,0.034264
881.5154,0.034165
883.3791,0.034243
885.2427,0.034250
887.1064,0.034258
888.9701,0.033986
890.8337,0.034085
892.6974,0.034435
894.5611,0.034501
896.4247,0.034333
898.2884,0.034149
900.1521,0.033888
902.0158,0.033755
903.8794,0.033929
905.7431,0.034392
907.6068,0.034694
909.4704,0.034664
911.3341,0.034805
913.1978,0.035281
915.0614,0.035566
916.9251,0.035911
918.7888,0.036211
920.6524,0.036176
922.5161,0.036260
924.3798,0.036431
926.2435,0.036351
928.1071,0.036294
929.9708,0.036266
931.8345,0.036337
933.6981,0.036409
935.5618,0.036546
937.4255,0.036526
939.2891,0.036436
941.1528,0.036738
943.0165,0.036986
944.8801,0.036957
946.7438,0.037255
948.6075,0.037535
950.4711,0.037635
952.3348,0.038004
954.1985,0.038520
956.0622,0.038848
957.9258,0.039266
959.7895,0.040010
961.6532,0.040742
963.5168,0.041414
965.3805,0.041971
967.2442,0.042166
969.1078,0.042247
970.9715,0.042231
972.8352,0.042183
974.6988,0.042253
976.5625,0.042342
978.4262,0.042379
980.2899,0.042551
982.1535,0.042860
984.0172,0.043207
985.8809,0.043709
987.7445,0.044251
989.6082,0.044846
