#Wavenumber	Intensity
650.4205	0.041971
652.2841	0.040230
654.1478	0.041347
656.0115	0.041449
657.8751	0.041095
659.7388	0.040706
661.6025	0.039960
663.4661	0.039602
665.3298	0.038995
667.1935	0.039152
669.0571	0.040490
670.9208	0.038783
672.7845	0.037873
674.6481	0.038367
676.5118	0.038410
678.3755	0.037781
680.2392	0.037521
682.1028	0.037772
683.9665	0.037750
685.8302	0.037102
687.6938	0.036634
689.5575	0.036542
691.4212	0.036106
693.2848	0.035423
695.1485	0.035461
697.0122	0.035688
698.8758	0.035607
700.7395	0.035274
702.6032	0.034654
704.4669	0.034019
706.3305	0.034416
708.1942	0.034608
710.0579	0.034143
711.9215	0.033686
713.7852	0.033381
715.6489	0.033198
717.5125	0.033052
719.3762	0.032855
721.2399	0.032736
723.1035	0.032797
724.9672	0.032848
726.8309	0.032435
728.6945	0.031892
730.5582	0.031724
732.4219	0.031613
734.2856	0.031221
736.1492	0.031212
738.0129	0.031385
739.8766	0.031146
741.7402	0.030588
743.6039	0.030265
745.4676	0.030308
747.3312	0.030256
749.1949	0.029972
751.0586	0.029667
752.9222	0.029453
754.7859	0.029340
756.6496	0.029181
758.5132	0.028853
760.3769	0.028534
762.2406	0.028512
764.1043	0.028413
765.9679	0.028181
767.8316	0.028136
769.6953	0.028098
771.5589	0.027799
773.4226	0.027321
775.2863	0.026962
777.1499	0.026855
779.0136	0.026640
780.8773	0.026484
782.7409	0.026336
784.6046	0.025935
786.4683	0.025716
788.3320	0.025649
790.1956	0.025410
792.0593	0.025148
793.9230	0.024999
795.7866	0.024733
797.6503	0.024405
799.5140	0.024232
801.3776	0.023956
803.2413	0.023744
805.1050	0.023581
806.9686	0.023147
808.8323	0.022755
810.6960	0.022567
812.5596	0.022324
814.4233	0.022058
816.2870	0.021785
818.1507	0.021571
820.0143	0.021403
821.8780	0.021215
823.7417	0.020892
825.6053	0.020561
827.4690	0.020441
829.3327	0.020284
831.1963	0.019994
833.0600	0.019654
834.9237	0.019391
836.7873	0.019180
838.6510	0.019009
840.5147	0.018825
842.3784	0.018503
844.2420	0.018207
846.1057	0.017931
847.9694	0.017702
849.8330	0.017620
851.6967	0.017539
853.5604	0.017284
855.4240	0.017018
857.2877	0.016836
859.1514	0.016542
861.0150	0.016260
862.8787	0.016149
864.7424	0.016062
866.6060	0.015918
868.4697	0.015700
870.3334	0.015429
872.1971	0.015209
874.0607	0.015066
875.9244	0.014909
877.7881	0.014712
879.6517	0.014589
881.5154	0.014530
883.3791	0.014417
885.2427	0.014253
887.1064	0.014063
888.9701	0.013923
890.8337	0.013875
892.6974	0.013810
894.5611	0.013696
896.4247	0.013631
898.2884	0.013578
900.1521	0.013448
902.0158	0.013333
903.8794	0.013233
905.7431	0.013048
907.6068	0.012975
909.4704	0.013037
911.3341	0.013007
913.1978	0.012910
915.0614	0.012878
916.9251	0.012917
918.7888	0.012911
920.6524	0.012822
922.5161	0.012761
924.3798	0.012786
926.2435	0.012819
928.1071	0.012803
929.9708	0.012732
931.8345	0.012629
933.6981	0.012549
935.5618	0.012509
937.4255	0.012528
939.2891	0.012576
941.1528	0.012558
943.0165	0.012517
944.8801	0.012526
946.7438	0.012524
948.6075	0.012479
950.4711	0.012467
952.3348	0.012432
954.1985	0.012328
956.0622	0.012251
957.9258	0.012235
959.7895	0.012233
961.6532	0.012260
963.5168	0.012325
965.3805	0.012386
967.2442	0.012468
969.1078	0.012490
970.9715	0.012485
972.8352	0.012554
974.6988	0.012586
976.5625	0.012619
978.4262	0.012718
980.2899	0.012821
982.1535	0.012902
984.0172	0.012993
985.8809	0.013041
987.7445	0.013046
989.6082	0.013118
991.4719	0.013188
993.3355	0.013154
995.1992	0.013134
997.0629	0.013226
998.9265	0.013324
1000.7902	0.013326
1002.6539	0.013311
1004.5175	0.013400
1006.3812	0.013552
1008.2449	0.013676
1010.1086	0.013796
1011.9722	0.013974
1013.8359	0.014217
1015.6996	0.014524
1017.5632	0.014831
1019.4269	0.015088
1021.2906	0.015354
1023.1542	0.015604
1025.0179	0.015865
1026.8816	0.016161
1028.7452	0.016407
1030.6089	0.016656
1032.4726	0.016993
1034.3362	0.017334
1036.1999	0.017596
1038.0636	0.017860
1039.9273	0.018103
1041.7909	0.018212
1043.6546	0.018202
1045.5183	0.018082
1047.3819	0.017859
1049.2456	0.017589
1051.1093	0.017362
1052.9729	0.017229
1054.8366	0.017135
1056.7003	0.017046
1058.5639	0.017025
1060.4276	0.017051
1062.2913	0.017118
1064.1550	0.017263
1066.0186	0.017466
1067.8823	0.017653
1069.7460	0.017824
1071.6096	0.018042
1073.4733	0.018245
1075.3370	0.018372
1077.2006	0.018494
1079.0643	0.018579
1080.9280	0.018546
1082.7916	0.018461
1084.6553	0.018376
1086.5190	0.018276
1088.3826	0.018194
1090.2463	0.018108
1092.1100	0.017983
1093.9737	0.017875
1095.8373	0.017783
1097.7010	0.017665
1099.5647	0.017553
1101.4283	0.017505
1103.2920	0.017459
1105.1557	0.017385
1107.0193	0.017311
1108.8830	0.017162
1110.7467	0.017006
1112.6103	0.016911
1114.4740	0.016831
1116.3377	0.016709
1118.2014	0.016536
1120.0650	0.016350
1121.9287	0.016180
1123.7924	0.015985
1125.6560	0.015800
1127.5197	0.015645
1129.3834	0.015432
1131.2470	0.015187
1133.1107	0.014966
1134.9744	0.014721
1136.8380	0.014506
1138.7017	0.014328
1140.5654	0.014148
1142.4290	0.013989
1144.2927	0.013866
1146.1564	0.013789
1148.0201	0.013719
1149.8837	0.013601
1151.7474	0.013532
1153.6111	0.013531
1155.4747	0.013505
1157.3384	0.013456
1159.2021	0.013431
1161.0657	0.013386
1162.9294	0.013309
1164.7931	0.013236
1166.6567	0.013198
1168.5204	0.013142
1170.3841	0.013052
1172.2477	0.012916
1174.1114	0.012823
1175.9751	0.012791
1177.8388	0.012733
1179.7024	0.012656
1181.5661	0.012592
1183.4298	0.012579
