#Wavenumber	Intensity
1679.1657	0.016839
1681.0294	0.015795
1682.8930	0.015353
1684.7567	0.016019
1686.6204	0.015266
1688.4840	0.013783
1690.3477	0.012896
1692.2114	0.011936
1694.0750	0.010851
1695.9387	0.010466
1697.8024	0.010568
1699.6661	0.010241
1701.5297	0.010549
1703.3934	0.009548
1705.2571	0.008880
1707.1207	0.008716
1708.9844	0.008160
1710.8481	0.007523
1712.7117	0.006891
1714.5754	0.006697
1716.4391	0.007161
1718.3027	0.007561
1720.1664	0.007264
1722.0301	0.006452
1723.8937	0.006171
1725.7574	0.005981
1727.6211	0.005583
1729.4848	0.005249
1731.3484	0.005248
1733.2121	0.005505
1735.0758	0.006205
1736.9394	0.005651
1738.8031	0.005127
1740.6668	0.005406
1742.5304	0.005198
1744.3941	0.004839
1746.2578	0.004737
1748.1214	0.004862
1749.9851	0.005181
1751.8488	0.005207
1753.7125	0.004854
1755.5761	0.004463
1757.4398	0.004510
1759.3035	0.004462
1761.1671	0.004429
1763.0308	0.004524
1764.8945	0.004217
1766.7581	0.003920
1768.6218	0.004069
1770.4855	0.004100
1772.3491	0.004437
1774.2128	0.004566
1776.0765	0.004141
1777.9401	0.004010
1779.8038	0.004018
1781.6675	0.004131
1783.5312	0.004014
1785.3948	0.004017
1787.2585	0.003897
1789.1222	0.003574
1790.9858	0.003642
1792.8495	0.004212
1794.7132	0.004189
1796.5768	0.003807
1798.4405	0.003658
1800.3042	0.003817
1802.1678	0.003988
1804.0315	0.003871
1805.8952	0.003629
1807.7589	0.003548
1809.6225	0.003569
1811.4862	0.003484
1813.3499	0.003303
1815.2135	0.003061
1817.0772	0.003023
1818.9409	0.003219
1820.8045	0.003388
1822.6682	0.003394
1824.5319	0.003511
1826.3955	0.003721
1828.2592	0.003559
1830.1229	0.003597
1831.9865	0.003657
1833.8502	0.003391
1835.7139	0.003238
1837.5776	0.003247
1839.4412	0.003251
1841.3049	0.003095
1843.1686	0.003107
