Wavenumber,Intensity
650.4205,0.005441
652.2841,0.006374
654.1478,0.006233
656.0115,0.005888
657.8751,0.006295
659.7388,0.006055
661.6025,0.006082
663.4661,0.006358
665.3298,0.006689
667.1935,0.006054
669.0571,0.005311
670.9208,0.005987
672.7845,0.006260
674.6481,0.006486
676.5118,0.006919
678.3755,0.006850
680.2392,0.006717
682.1028,0.007085
683.9665,0.007135
685.8302,0.006406
687.6938,0.006407
689.5575,0.007157
691.4212,0.007250
693.2848,0.007408
695.1485,0.007553
697.0122,0.007391
698.8758,0.007296
700.7395,0.007422
702.6032,0.007248
704.4669,0.007024
706.3305,0.007155
708.1942,0.007114
710.0579,0.007016
711.9215,0.006965
713.7852,0.006945
715.6489,0.007049
717.5125,0.007309
719.3762,0.007343
721.2399,0.007219
723.1035,0.007222
724.9672,0.007299
726.8309,0.007363
728.6945,0.007279
730.5582,0.006988
732.4219,0.006737
734.2856,0.006837
736.1492,0.006828
738.0129,0.006751
739.8766,0.007052
741.7402,0.007258
743.6039,0.007038
745.4676,0.006937
747.3312,0.006927
749.1949,0.006873
751.0586,0.006968
752.9222,0.007021
754.7859,0.007028
756.6496,0.006984
758.5132,0.006921
760.3769,0.006691
762.2406,0.006659
764.1043,0.006804
765.9679,0.006958
767.8316,0.007001
769.6953,0.006946
771.5589,0.006743
773.4226,0.006746
775.2863,0.006778
777.1499,0.006787
779.0136,0.006822
780.8773,0.006802
782.7409,0.006735
784.6046,0.006649
786.4683,0.006695
788.3320,0.006711
790.1956,0.006583
792.0593,0.006600
793.9230,0.006607
795.7866,0.006518
797.6503,0.006535
799.5140,0.006532
801.3776,0.006475
803.2413,0.006492
805.1050,0.006472
806.9686,0.006387
808.8323,0.006320
810.6960,0.006362
812.5596,0.006423
814.4233,0.006509
816.2870,0.006557
818.1507,0.006441
820.0143,0.006380
821.8780,0.006364
823.7417,0.006395
825.6053,0.006474
827.4690,0.006477
829.3327,0.006362
831.1963,0.006315
833.0600,0.006447
834.9237,0.006569
836.7873,0.006566
838.6510,0.006524
840.5147,0.006499
842.3784,0.006607
844.2420,0.006634
846.1057,0.006664
847.9694,0.006673
849.8330,0.006672
851.6967,0.006802
853.5604,0.006910
855.4240,0.006998
