Wavenumber,Intensity
650.4205,-0.007084
652.2841,-0.007699
654.1478,-0.007573
656.0115,-0.006441
657.8751,-0.006563
659.7388,-0.008056
661.6025,-0.008662
663.4661,-0.007618
665.3298,-0.005765
667.1935,-0.004897
669.0571,-0.008484
670.9208,-0.008769
672.7845,-0.008041
674.6481,-0.007123
676.5118,-0.006478
678.3755,-0.007164
680.2392,-0.007568
682.1028,-0.007435
683.9665,-0.007845
685.8302,-0.008283
687.6938,-0.008124
689.5575,-0.007771
691.4212,-0.007554
693.2848,-0.008099
695.1485,-0.008810
697.0122,-0.008490
698.8758,-0.008050
700.7395,-0.008109
702.6032,-0.008006
704.4669,-0.007842
706.3305,-0.007942
708.1942,-0.008069
710.0579,-0.008045
711.9215,-0.007863
713.7852,-0.007840
715.6489,-0.007901
717.5125,-0.007717
719.3762,-0.007604
721.2399,-0.007557
723.1035,-0.007822
724.9672,-0.008052
726.8309,-0.007737
728.6945,-0.007483
730.5582,-0.007592
732.4219,-0.007307
734.2856,-0.007096
736.1492,-0.007198
738.0129,-0.007047
739.8766,-0.006874
741.7402,-0.006739
743.6039,-0.006591
745.4676,-0.006568
747.3312,-0.006681
749.1949,-0.006657
751.0586,-0.006300
752.9222,-0.006185
754.7859,-0.006330
756.6496,-0.006344
758.5132,-0.006394
760.3769,-0.006486
762.2406,-0.006332
764.1043,-0.006097
765.9679,-0.006042
767.8316,-0.006035
769.6953,-0.006104
771.5589,-0.006151
773.4226,-0.005989
775.2863,-0.005973
777.1499,-0.006118
779.0136,-0.006106
780.8773,-0.006003
782.7409,-0.005849
784.6046,-0.005788
786.4683,-0.005914
788.3320,-0.006021
790.1956,-0.005943
792.0593,-0.005739
793.9230,-0.005668
795.7866,-0.005731
797.6503,-0.005886
799.5140,-0.005897
801.3776,-0.005773
803.2413,-0.005792
805.1050,-0.005798
806.9686,-0.005816
808.8323,-0.005942
810.6960,-0.005878
812.5596,-0.005761
814.4233,-0.005689
816.2870,-0.005722
818.1507,-0.005934
820.0143,-0.006080
821.8780,-0.006099
823.7417,-0.006105
825.6053,-0.006129
827.4690,-0.006157
829.3327,-0.006108
831.1963,-0.006012
833.0600,-0.005961
834.9237,-0.006067
