Wavenumber,Intensity
650.4205,0.068686
652.2841,0.068380
654.1478,0.067775
656.0115,0.067356
657.8751,0.066516
659.7388,0.065995
661.6025,0.065852
663.4661,0.064393
665.3298,0.062574
667.1935,0.063134
669.0571,0.065422
670.9208,0.064684
672.7845,0.063414
674.6481,0.061967
676.5118,0.061371
678.3755,0.061554
680.2392,0.061452
682.1028,0.060910
683.9665,0.060050
685.8302,0.060006
687.6938,0.060316
689.5575,0.059807
691.4212,0.059070
693.2848,0.058740
695.1485,0.058434
697.0122,0.058120
698.8758,0.058183
700.7395,0.058316
702.6032,0.057851
704.4669,0.057237
706.3305,0.057035
708.1942,0.056702
710.0579,0.056472
711.9215,0.056339
713.7852,0.055767
715.6489,0.055418
717.5125,0.055444
719.3762,0.055053
721.2399,0.054541
723.1035,0.054289
724.9672,0.053973
726.8309,0.053532
728.6945,0.053148
730.5582,0.053149
732.4219,0.053007
734.2856,0.052658
736.1492,0.052573
738.0129,0.052418
739.8766,0.052039
741.7402,0.051822
743.6039,0.051515
745.4676,0.050943
747.3312,0.050485
749.1949,0.050139
751.0586,0.049673
752.9222,0.049254
754.7859,0.048811
756.6496,0.048445
758.5132,0.048192
760.3769,0.048111
762.2406,0.048033
764.1043,0.047613
765.9679,0.047069
767.8316,0.046648
769.6953,0.046342
771.5589,0.045961
773.4226,0.045411
775.2863,0.044966
777.1499,0.044627
779.0136,0.044217
780.8773,0.043772
782.7409,0.043471
784.6046,0.043117
786.4683,0.042751
788.3320,0.042380
790.1956,0.041940
792.0593,0.041369
793.9230,0.040785
795.7866,0.040387
797.6503,0.040020
799.5140,0.039705
801.3776,0.039319
803.2413,0.038723
805.1050,0.038383
806.9686,0.038111
808.8323,0.037734
810.6960,0.037463
812.5596,0.036877
814.4233,0.036182
816.2870,0.036076
818.1507,0.035908
820.0143,0.035324
821.8780,0.034773
823.7417,0.034437
825.6053,0.034152
827.4690,0.033832
829.3327,0.033463
831.1963,0.033182
833.0600,0.032970
834.9237,0.032723
836.7873,0.032363
838.6510,0.032019
840.5147,0.031761
842.3784,0.031521
844.2420,0.031278
846.1057,0.030981
847.9694,0.030696
849.8330,0.030588
851.6967,0.030442
853.5604,0.030208
855.4240,0.030016
857.2877,0.029894
859.1514,0.029769
861.0150,0.029640
862.8787,0.029510
864.7424,0.029253
866.6060,0.028947
868.4697,0.028822
870.3334,0.028786
872.1971,0.028564
874.0607,0.028332
875.9244,0.028399
877.7881,0.028405
