Wavenumber,Intensity
650.4205,0.027944
652.2841,0.028161
654.1478,0.026600
656.0115,0.025280
657.8751,0.025257
659.7388,0.025522
661.6025,0.025422
663.4661,0.024812
665.3298,0.023931
667.1935,0.024458
669.0571,0.026534
670.9208,0.025359
672.7845,0.024328
674.6481,0.023564
676.5118,0.022982
678.3755,0.022986
680.2392,0.023032
682.1028,0.022946
683.9665,0.022736
685.8302,0.022364
687.6938,0.022229
689.5575,0.022141
691.4212,0.021814
693.2848,0.021189
695.1485,0.020973
697.0122,0.021166
698.8758,0.020887
700.7395,0.020586
702.6032,0.020677
704.4669,0.020778
706.3305,0.020383
708.1942,0.019947
710.0579,0.019804
711.9215,0.019416
713.7852,0.019204
715.6489,0.019163
717.5125,0.019061
719.3762,0.019096
721.2399,0.019189
723.1035,0.019025
724.9672,0.018857
726.8309,0.018651
728.6945,0.018617
730.5582,0.018690
732.4219,0.018418
734.2856,0.018028
736.1492,0.017670
738.0129,0.017537
739.8766,0.017650
741.7402,0.017775
743.6039,0.017839
745.4676,0.017744
747.3312,0.017406
749.1949,0.016921
751.0586,0.016633
752.9222,0.016475
754.7859,0.016350
756.6496,0.016233
758.5132,0.016106
760.3769,0.016175
762.2406,0.016036
764.1043,0.015602
765.9679,0.015433
767.8316,0.015525
769.6953,0.015548
771.5589,0.015273
773.4226,0.014893
775.2863,0.014552
777.1499,0.014381
779.0136,0.014461
780.8773,0.014366
782.7409,0.014041
784.6046,0.013804
786.4683,0.013563
788.3320,0.013352
790.1956,0.013308
792.0593,0.013131
793.9230,0.013007
795.7866,0.012968
797.6503,0.012696
799.5140,0.012362
801.3776,0.012275
803.2413,0.012157
805.1050,0.011849
806.9686,0.011685
808.8323,0.011511
810.6960,0.011242
812.5596,0.011092
814.4233,0.010952
816.2870,0.010756
818.1507,0.010537
820.0143,0.010446
821.8780,0.010395
823.7417,0.010222
825.6053,0.010059
827.4690,0.009856
829.3327,0.009602
831.1963,0.009465
833.0600,0.009494
834.9237,0.009446
836.7873,0.009196
838.6510,0.008884
840.5147,0.008733
842.3784,0.008660
844.2420,0.008494
846.1057,0.008327
847.9694,0.008128
849.8330,0.007961
851.6967,0.007865
853.5604,0.007737
855.4240,0.007527
857.2877,0.007295
859.1514,0.007219
861.0150,0.007236
862.8787,0.007133
864.7424,0.006998
866.6060,0.006792
868.4697,0.006605
870.3334,0.006576
872.1971,0.006519
874.0607,0.006324
875.9244,0.006188
877.7881,0.006165
879.6517,0.006089
881.5154,0.006007
883.3791,0.005961
885.2427,0.005841
887.1064,0.005651
888.9701,0.005589
890.8337,0.005554
892.6974,0.005420
894.5611,0.005292
896.4247,0.005153
898.2884,0.005086
900.1521,0.005054
902.0158,0.004985
903.8794,0.004888
905.7431,0.004789
907.6068,0.004728
909.4704,0.004598
911.3341,0.004436
913.1978,0.004448
915.0614,0.004478
916.9251,0.004420
918.7888,0.004385
920.6524,0.004319
922.5161,0.004198
