Wavenumber,Intensity
650.4205,0.093753
652.2841,0.093006
654.1478,0.094105
656.0115,0.093490
657.8751,0.091405
659.7388,0.091200
661.6025,0.093290
663.4661,0.092562
665.3298,0.090220
667.1935,0.090208
669.0571,0.091699
670.9208,0.089513
672.7845,0.087718
674.6481,0.086306
676.5118,0.086065
678.3755,0.085633
680.2392,0.084323
682.1028,0.083702
683.9665,0.084200
685.8302,0.083653
687.6938,0.082967
689.5575,0.082436
691.4212,0.082070
693.2848,0.082763
695.1485,0.083369
697.0122,0.082104
698.8758,0.080964
700.7395,0.079194
702.6032,0.078279
704.4669,0.077320
706.3305,0.076217
708.1942,0.075430
710.0579,0.074705
711.9215,0.073657
713.7852,0.072942
715.6489,0.071955
717.5125,0.070908
719.3762,0.070886
721.2399,0.071000
723.1035,0.069812
724.9672,0.068630
726.8309,0.068279
728.6945,0.068217
730.5582,0.067274
732.4219,0.066413
734.2856,0.066337
736.1492,0.066312
738.0129,0.066051
739.8766,0.065669
741.7402,0.065107
743.6039,0.064841
745.4676,0.064321
747.3312,0.063713
749.1949,0.063252
751.0586,0.062604
752.9222,0.061767
754.7859,0.061126
756.6496,0.060419
758.5132,0.059802
760.3769,0.059348
762.2406,0.058755
764.1043,0.058053
765.9679,0.057966
767.8316,0.057854
769.6953,0.057200
771.5589,0.056308
773.4226,0.055974
775.2863,0.055608
777.1499,0.054635
779.0136,0.053687
780.8773,0.053693
782.7409,0.053647
784.6046,0.053277
786.4683,0.052518
788.3320,0.051558
790.1956,0.051460
792.0593,0.051451
793.9230,0.051152
795.7866,0.050696
797.6503,0.050121
799.5140,0.049982
801.3776,0.049696
803.2413,0.049276
805.1050,0.049083
806.9686,0.048974
808.8323,0.048720
810.6960,0.048322
812.5596,0.048202
814.4233,0.047916
816.2870,0.047282
818.1507,0.047020
820.0143,0.046594
821.8780,0.045949
823.7417,0.045472
825.6053,0.044973
827.4690,0.044204
829.3327,0.043604
831.1963,0.043524
833.0600,0.043273
834.9237,0.042946
836.7873,0.042574
838.6510,0.041779
840.5147,0.041084
842.3784,0.040863
844.2420,0.040672
846.1057,0.040468
847.9694,0.040404
849.8330,0.040341
851.6967,0.040037
853.5604,0.039862
855.4240,0.039696
857.2877,0.039562
859.1514,0.039559
861.0150,0.039535
862.8787,0.039702
864.7424,0.039848
866.6060,0.040044
868.4697,0.040372
870.3334,0.040778
872.1971,0.041069
874.0607,0.041013
875.9244,0.040955
877.7881,0.041083
879.6517,0.041089
881.5154,0.040994
883.3791,0.040836
885.2427,0.040837
887.1064,0.040883
888.9701,0.040826
890.8337,0.040969
892.6974,0.041207
894.5611,0.041260
896.4247,0.041263
898.2884,0.041303
900.1521,0.041327
902.0158,0.041406
903.8794,0.041580
905.7431,0.041641
907.6068,0.041752
909.4704,0.041957
911.3341,0.042253
913.1978,0.042412
915.0614,0.042535
916.9251,0.042830
918.7888,0.043132
920.6524,0.043329
922.5161,0.043311
924.3798,0.043115
926.2435,0.043007
928.1071,0.043112
929.9708,0.043152
931.8345,0.043079
933.6981,0.043141
935.5618,0.043480
937.4255,0.043682
939.2891,0.043709
941.1528,0.043829
943.0165,0.043985
944.8801,0.044339
946.7438,0.044636
948.6075,0.044925
950.4711,0.045377
952.3348,0.045696
954.1985,0.046071
956.0622,0.046704
957.9258,0.047428
959.7895,0.048188
961.6532,0.048943
963.5168,0.049630
965.3805,0.050297
967.2442,0.050778
969.1078,0.050986
970.9715,0.051124
972.8352,0.051218
974.6988,0.051351
976.5625,0.051467
978.4262,0.051766
980.2899,0.052149
982.1535,0.052620
984.0172,0.053120
985.8809,0.053682
987.7445,0.054360
989.6082,0.055024
991.4719,0.055701
993.3355,0.056482
995.1992,0.057202
997.0629,0.057859
998.9265,0.058453
1000.7902,0.059097
1002.6539,0.059840
1004.5175,0.060594
1006.3812,0.061478
1008.2449,0.062623
1010.1086,0.063825
1011.9722,0.064952
1013.8359,0.066179
1015.6996,0.067485
1017.5632,0.068734
1019.4269,0.069873
1021.2906,0.070914
1023.1542,0.071819
1025.0179,0.072472
1026.8816,0.072977
1028.7452,0.073503
1030.6089,0.073965
1032.4726,0.074223
1034.3362,0.074475
1036.1999,0.074741
1038.0636,0.074870
1039.9273,0.075001
1041.7909,0.075143
1043.6546,0.075136
1045.5183,0.075082
1047.3819,0.074957
1049.2456,0.074925
1051.1093,0.075008
1052.9729,0.075035
1054.8366,0.074964
1056.7003,0.074966
1058.5639,0.074996
1060.4276,0.074931
1062.2913,0.074774
1064.1550,0.074839
1066.0186,0.074988
1067.8823,0.074909
1069.7460,0.074747
1071.6096,0.074667
1073.4733,0.074323
1075.3370,0.073629
1077.2006,0.072826
1079.0643,0.071950
1080.9280,0.070762
1082.7916,0.069544
1084.6553,0.068331
1086.5190,0.067124
1088.3826,0.065997
1090.2463,0.064981
1092.1100,0.064000
1093.9737,0.063224
1095.8373,0.062554
1097.7010,0.061885
1099.5647,0.061256
1101.4283,0.060720
1103.2920,0.060268
1105.1557,0.059775
1107.0193,0.059369
1108.8830,0.059153
1110.7467,0.058918
1112.6103,0.058602
1114.4740,0.058317
1116.3377,0.057965
1118.2014,0.057500
1120.0650,0.057160
1121.9287,0.056905
1123.7924,0.056549
1125.6560,0.056148
1127.5197,0.055790
1129.3834,0.055357
1131.2470,0.054903
1133.1107,0.054457
1134.9744,0.053935
1136.8380,0.053360
1138.7017,0.052932
1140.5654,0.052637
1142.4290,0.052517
1144.2927,0.052504
1146.1564,0.052575
1148.0201,0.052773
1149.8837,0.053033
1151.7474,0.053317
1153.6111,0.053644
1155.4747,0.053868
1157.3384,0.053976
1159.2021,0.053995
1161.0657,0.053887
1162.9294,0.053736
1164.7931,0.053518
1166.6567,0.053229
1168.5204,0.052876
1170.3841,0.052396
1172.2477,0.051771
1174.1114,0.051055
1175.9751,0.050393
1177.8388,0.049923
1179.7024,0.049687
1181.5661,0.049754
1183.4298,0.050035
1185.2934,0.050356
1187.1571,0.050734
1189.0208,0.051197
1190.8844,0.051778
1192.7481,0.052387
1194.6118,0.052916
1196.4754,0.053505
1198.3391,0.054105
1200.2028,0.054693
1202.0665,0.055252
1203.9301,0.055779
1205.7938,0.056222
1207.6575,0.056469
1209.5211,0.056597
1211.3848,0.056744
1213.2485,0.056908
1215.1121,0.057149
1216.9758,0.057557
1218.8395,0.058068
1220.7031,0.058694
1222.5668,0.059376
1224.4305,0.060011
1226.2941,0.060522
1228.1578,0.060927
1230.0215,0.061305
1231.8852,0.061667
1233.7488,0.061901
1235.6125,0.061926
1237.4762,0.061827
1239.3398,0.061695
1241.2035,0.061365
1243.0672,0.060906
1244.9308,0.060373
1246.7945,0.059765
1248.6582,0.058996
1250.5218,0.058249
1252.3855,0.057562
1254.2492,0.056913
1256.1129,0.056392
1257.9765,0.055908
1259.8402,0.055542
1261.7039,0.055297
1263.5675,0.054968
1265.4312,0.054663
1267.2949,0.054443
1269.1585,0.054228
1271.0222,0.054054
1272.8859,0.053807
1274.7495,0.053547
1276.6132,0.053343
1278.4769,0.053248
1280.3405,0.053202
1282.2042,0.053045
1284.0679,0.052848
1285.9316,0.052795
1287.7952,0.052775
1289.6589,0.052758
1291.5226,0.052884
1293.3862,0.053037
1295.2499,0.053197
1297.1136,0.053400
1298.9772,0.053618
1300.8409,0.053746
1302.7046,0.053883
1304.5682,0.054055
1306.4319,0.054207
1308.2956,0.054295
1310.1592,0.054364
1312.0229,0.054449
1313.8866,0.054454
1315.7503,0.054248
1317.6139,0.054043
1319.4776,0.053842
1321.3413,0.053481
1323.2049,0.053186
1325.0686,0.053026
1326.9323,0.052756
1328.7959,0.052603
1330.6596,0.052580
1332.5233,0.052533
1334.3869,0.052437
1336.2506,0.052348
1338.1143,0.052621
1339.9780,0.053193
1341.8416,0.053179
1343.7053,0.052757
1345.5690,0.052507
1347.4326,0.052357
1349.2963,0.052225
1351.1600,0.052184
1353.0236,0.052178
1354.8873,0.052229
1356.7510,0.052164
1358.6146,0.052091
1360.4783,0.052502
1362.3420,0.053938
1364.2056,0.055173
1366.0693,0.055357
1367.9330,0.055678
1369.7967,0.056254
1371.6603,0.056712
1373.5240,0.057949
1375.3877,0.059308
1377.2513,0.059675
1379.1150,0.060076
1380.9787,0.060537
1382.8423,0.060684
1384.7060,0.060812
1386.5697,0.061656
1388.4333,0.062569
1390.2970,0.061958
1392.1607,0.061218
1394.0244,0.061549
1395.8880,0.062250
1397.7517,0.062267
1399.6154,0.062248
1401.4790,0.061650
1403.3427,0.060893
1405.2064,0.060972
1407.0700,0.060697
1408.9337,0.060044
1410.7974,0.059728
1412.6610,0.059331
1414.5247,0.058717
1416.3884,0.058500
1418.2520,0.059455
1420.1157,0.060499
1421.9794,0.059785
1423.8431,0.059496
1425.7067,0.059821
1427.5704,0.059988
1429.4341,0.060966
1431.2977,0.061795
1433.1614,0.061876
1435.0251,0.062717
1436.8887,0.065302
1438.7524,0.066156
1440.6161,0.065217
1442.4797,0.064920
1444.3434,0.064753
1446.2071,0.064625
1448.0707,0.064816
1449.9344,0.064307
1451.7981,0.063046
1453.6618,0.062028
1455.5254,0.061880
1457.3891,0.063013
1459.2528,0.061600
1461.1164,0.058736
1462.9801,0.057188
1464.8438,0.057068
1466.7074,0.056105
1468.5711,0.054036
1470.4348,0.052824
1472.2984,0.053553
1474.1621,0.054156
1476.0258,0.053472
1477.8895,0.052843
1479.7531,0.052393
1481.6168,0.052674
1483.4805,0.053010
1485.3441,0.053339
1487.2078,0.055200
1489.0715,0.058719
1490.9351,0.061686
1492.7988,0.062154
1494.6625,0.062802
1496.5261,0.066274
1498.3898,0.069590
1500.2535,0.070545
1502.1171,0.070725
1503.9808,0.071344
1505.8445,0.074659
1507.7082,0.080729
1509.5718,0.081357
1511.4355,0.080910
1513.2992,0.081232
1515.1628,0.081874
1517.0265,0.082753
1518.8902,0.083064
1520.7538,0.082913
1522.6175,0.083577
1524.4812,0.083318
1526.3448,0.083129
1528.2085,0.083134
1530.0722,0.082848
1531.9359,0.082547
1533.7995,0.082336
1535.6632,0.081755
1537.5269,0.080995
1539.3905,0.081208
1541.2542,0.081428
1543.1179,0.079724
1544.9815,0.078046
1546.8452,0.076398
1548.7089,0.074615
1550.5725,0.072571
1552.4362,0.070490
1554.2999,0.068438
1556.1635,0.066995
1558.0272,0.066004
1559.8909,0.065177
1561.7546,0.062691
1563.6182,0.060235
1565.4819,0.058679
1567.3456,0.057600
1569.2092,0.056834
1571.0729,0.056251
1572.9366,0.055020
1574.8002,0.054342
1576.6639,0.055018
1578.5276,0.054866
1580.3912,0.053973
1582.2549,0.053805
1584.1186,0.054155
1585.9822,0.054558
1587.8459,0.055094
1589.7096,0.055844
1591.5733,0.057035
1593.4369,0.058493
1595.3006,0.060030
1597.1643,0.061486
1599.0279,0.063057
1600.8916,0.064984
1602.7553,0.067201
1604.6189,0.069442
1606.4826,0.071725
1608.3463,0.074172
1610.2099,0.076501
1612.0736,0.078309
1613.9373,0.080036
1615.8010,0.082055
1617.6646,0.084579
1619.5283,0.085748
1621.3920,0.086206
1623.2556,0.087480
1625.1193,0.089144
1626.9830,0.089702
1628.8466,0.089716
1630.7103,0.089939
1632.5740,0.090153
1634.4376,0.090120
1636.3013,0.089390
1638.1650,0.088410
1640.0286,0.087131
1641.8923,0.086071
1643.7560,0.085189
1645.6197,0.084054
1647.4833,0.082529
1649.3470,0.081223
1651.2107,0.079614
1653.0743,0.077010
1654.9380,0.074302
1656.8017,0.072312
1658.6653,0.070150
1660.5290,0.067937
1662.3927,0.065364
1664.2563,0.063155
1666.1200,0.061194
1667.9837,0.059036
1669.8474,0.056690
1671.7110,0.054512
1673.5747,0.052266
1675.4384,0.050072
1677.3020,0.048022
1679.1657,0.045747
1681.0294,0.043529
1682.8930,0.041447
1684.7567,0.038860
1686.6204,0.036426
1688.4840,0.033766
1690.3477,0.031485
1692.2114,0.029045
1694.0750,0.026610
1695.9387,0.024282
1697.8024,0.022269
1699.6661,0.019764
1701.5297,0.018169
1703.3934,0.016459
1705.2571,0.014597
1707.1207,0.013654
1708.9844,0.012588
1710.8481,0.011361
1712.7117,0.010494
1714.5754,0.009919
1716.4391,0.009852
1718.3027,0.009832
1720.1664,0.009897
1722.0301,0.009099
1723.8937,0.008429
1725.7574,0.007992
1727.6211,0.007507
1729.4848,0.007125
1731.3484,0.006996
1733.2121,0.006762
1735.0758,0.007704
1736.9394,0.007876
1738.8031,0.006950
1740.6668,0.006929
1742.5304,0.006889
1744.3941,0.006583
1746.2578,0.006294
1748.1214,0.005855
1749.9851,0.005782
1751.8488,0.005792
1753.7125,0.005520
1755.5761,0.004803
1757.4398,0.004520
1759.3035,0.004389
1761.1671,0.003999
1763.0308,0.004270
1764.8945,0.004226
1766.7581,0.003619
1768.6218,0.003498
1770.4855,0.003541
1772.3491,0.003598
1774.2128,0.003976
1776.0765,0.003756
1777.9401,0.003563
1779.8038,0.003474
1781.6675,0.003657
1783.5312,0.003526
1785.3948,0.003445
1787.2585,0.003594
1789.1222,0.003357
1790.9858,0.003195
1792.8495,0.003450
1794.7132,0.003749
1796.5768,0.003510
1798.4405,0.003280
1800.3042,0.003205
1802.1678,0.003333
1804.0315,0.003379
1805.8952,0.003267
1807.7589,0.003163
1809.6225,0.003026
1811.4862,0.003056
1813.3499,0.003103
1815.2135,0.002853
1817.0772,0.002864
1818.9409,0.002944
1820.8045,0.002828
1822.6682,0.002787
1824.5319,0.002822
1826.3955,0.002932
1828.2592,0.002920
1830.1229,0.002976
1831.9865,0.003337
1833.8502,0.003126
1835.7139,0.002924
1837.5776,0.002689
1839.4412,0.002723
1841.3049,0.002937
1843.1686,0.003071
1845.0322,0.003072
1846.8959,0.003177
1848.7596,0.003134
1850.6232,0.003077
1852.4869,0.002752
1854.3506,0.002700
1856.2142,0.002728
1858.0779,0.002948
1859.9416,0.003078
1861.8052,0.002904
1863.6689,0.002762
1865.5326,0.002585
1867.3963,0.002795
1869.2599,0.003216
1871.1236,0.003179
1872.9873,0.002934
1874.8509,0.002926
1876.7146,0.003026
1878.5783,0.002812
1880.4419,0.002898
1882.3056,0.003013
1884.1693,0.002746
1886.0329,0.002489
1887.8966,0.002554
1889.7603,0.002934
1891.6240,0.003366
1893.4876,0.003163
1895.3513,0.002756
1897.2150,0.002389
1899.0786,0.002648
1900.9423,0.002922
1902.8060,0.002813
1904.6696,0.002450
1906.5333,0.002366
1908.3970,0.002879
1910.2606,0.003088
1912.1243,0.002603
1913.9880,0.002438
1915.8516,0.002650
1917.7153,0.002716
1919.5790,0.002923
1921.4427,0.003017
1923.3063,0.002766
1925.1700,0.002446
1927.0337,0.002123
1928.8973,0.001695
1930.7610,0.001634
1932.6247,0.001953
1934.4883,0.002162
1936.3520,0.001807
1938.2157,0.000897
1940.0793,0.001099
1941.9430,0.001979
1943.8067,0.002191
1945.6704,0.001584
1947.5340,0.001239
1949.3977,0.001250
1951.2614,0.001191
1953.1250,0.001172
1954.9887,0.001213
1956.8524,0.000597
1958.7160,0.000369
1960.5797,0.000422
1962.4434,0.000468
1964.3070,0.001044
1966.1707,0.001248
1968.0344,0.000849
1969.8980,0.000101
1971.7617,-0.000347
1973.6254,-0.000506
1975.4891,-0.000073
1977.3527,0.000855
1979.2164,0.000929
1981.0801,0.000404
1982.9437,0.000142
1984.8074,0.000651
1986.6711,0.001193
1988.5347,0.001877
1990.3984,0.002107
1992.2621,0.001862
1994.1257,0.001342
1995.9894,0.000494
1997.8531,-0.000105
1999.7167,-0.000256
2001.5804,0.000100
2003.4441,0.000662
2005.3078,0.000522
2007.1714,-0.000333
2009.0351,0.000444
2010.8988,0.001401
2012.7624,0.000658
2014.6261,0.000119
2016.4898,-0.000263
2018.3534,-0.000363
2020.2171,-0.000111
2022.0808,0.000080
2023.9444,0.000129
2025.8081,-0.001023
2027.6718,-0.001009
2029.5355,0.000232
2031.3991,0.000325
2033.2628,-0.000042
2035.1265,0.000526
2036.9901,0.001368
2038.8538,0.000942
2040.7175,0.001414
2042.5811,0.002176
2044.4448,0.001566
2046.3085,0.002107
2048.1721,0.002895
2050.0358,0.003206
2051.8995,0.003709
2053.7631,0.003674
2055.6268,0.003431
2057.4905,0.003488
2059.3542,0.003297
2061.2178,0.002926
2063.0815,0.003269
2064.9452,0.003616
2066.8088,0.003564
2068.6725,0.003581
2070.5362,0.003348
2072.3998,0.003459
2074.2635,0.004011
2076.1272,0.003828
2077.9908,0.003573
2079.8545,0.004071
2081.7182,0.004849
2083.5819,0.004735
2085.4455,0.003634
2087.3092,0.002775
2089.1729,0.003129
2091.0365,0.003598
2092.9002,0.003007
2094.7639,0.002935
2096.6275,0.003321
2098.4912,0.003250
2100.3549,0.003077
2102.2185,0.003245
2104.0822,0.003437
2105.9459,0.003634
2107.8095,0.003717
2109.6732,0.003712
