Wavenumber,Intensity
650.4205,0.145076
652.2841,0.145299
654.1478,0.143525
656.0115,0.140475
657.8751,0.142071
659.7388,0.144082
661.6025,0.141876
663.4661,0.141752
665.3298,0.141265
667.1935,0.140372
669.0571,0.141644
670.9208,0.139860
672.7845,0.138348
674.6481,0.138421
676.5118,0.137628
678.3755,0.135922
680.2392,0.134622
682.1028,0.135114
683.9665,0.134171
685.8302,0.133212
687.6938,0.132131
689.5575,0.130390
691.4212,0.129231
693.2848,0.130032
695.1485,0.130624
697.0122,0.130112
698.8758,0.128809
700.7395,0.127618
702.6032,0.125524
704.4669,0.123179
706.3305,0.121788
708.1942,0.121397
710.0579,0.120998
711.9215,0.120002
713.7852,0.118680
715.6489,0.117496
717.5125,0.116122
719.3762,0.115660
721.2399,0.115115
723.1035,0.113429
724.9672,0.112562
726.8309,0.111930
728.6945,0.110218
730.5582,0.109100
732.4219,0.108967
734.2856,0.108410
736.1492,0.107470
738.0129,0.107106
739.8766,0.107189
741.7402,0.107361
743.6039,0.106814
745.4676,0.105844
747.3312,0.104958
749.1949,0.104422
751.0586,0.103822
752.9222,0.102752
754.7859,0.101557
756.6496,0.101217
758.5132,0.100475
760.3769,0.099750
762.2406,0.099483
764.1043,0.099408
765.9679,0.098719
767.8316,0.097646
769.6953,0.096305
771.5589,0.095264
773.4226,0.095005
775.2863,0.094598
777.1499,0.093851
779.0136,0.093001
780.8773,0.091759
782.7409,0.090714
784.6046,0.089988
786.4683,0.089543
788.3320,0.088970
790.1956,0.088434
792.0593,0.087575
793.9230,0.086675
795.7866,0.086245
797.6503,0.085600
799.5140,0.084709
801.3776,0.084157
803.2413,0.084008
805.1050,0.084379
806.9686,0.084276
808.8323,0.083720
810.6960,0.083233
812.5596,0.083496
814.4233,0.083516
816.2870,0.082674
818.1507,0.081947
820.0143,0.081553
821.8780,0.080919
823.7417,0.080029
825.6053,0.079177
827.4690,0.078558
829.3327,0.077953
831.1963,0.077098
833.0600,0.076303
834.9237,0.075780
836.7873,0.075263
838.6510,0.074872
840.5147,0.074528
842.3784,0.074270
844.2420,0.073919
846.1057,0.073541
847.9694,0.073282
849.8330,0.073209
851.6967,0.073260
853.5604,0.073284
855.4240,0.073512
857.2877,0.073584
859.1514,0.073299
861.0150,0.073526
862.8787,0.074036
864.7424,0.074344
866.6060,0.074602
868.4697,0.074852
870.3334,0.075068
872.1971,0.075098
874.0607,0.075055
875.9244,0.074947
877.7881,0.074715
879.6517,0.074375
881.5154,0.073664
883.3791,0.073007
885.2427,0.072724
887.1064,0.072592
888.9701,0.072489
890.8337,0.072520
892.6974,0.072594
894.5611,0.072621
896.4247,0.072715
898.2884,0.072640
900.1521,0.072261
902.0158,0.072107
903.8794,0.072153
905.7431,0.072245
907.6068,0.072427
909.4704,0.072870
911.3341,0.073490
913.1978,0.074184
915.0614,0.074847
916.9251,0.075498
918.7888,0.076061
920.6524,0.076537
922.5161,0.076970
924.3798,0.077354
926.2435,0.077555
928.1071,0.077681
929.9708,0.077812
931.8345,0.078107
933.6981,0.078530
935.5618,0.078785
937.4255,0.078948
939.2891,0.079297
941.1528,0.079897
943.0165,0.080459
944.8801,0.080760
946.7438,0.080806
948.6075,0.080693
950.4711,0.080577
952.3348,0.080258
954.1985,0.080150
956.0622,0.080643
957.9258,0.081775
959.7895,0.083117
961.6532,0.084748
963.5168,0.086539
965.3805,0.088075
967.2442,0.089126
969.1078,0.089592
970.9715,0.089479
972.8352,0.089143
974.6988,0.089043
976.5625,0.089244
978.4262,0.089717
