Wavenumber,Intensity
650.4205,0.016170
652.2841,0.015871
654.1478,0.016262
656.0115,0.016262
657.8751,0.015607
659.7388,0.015766
661.6025,0.016022
663.4661,0.015366
665.3298,0.014616
667.1935,0.014228
669.0571,0.017092
670.9208,0.016642
672.7845,0.015897
674.6481,0.015781
676.5118,0.015537
678.3755,0.015225
680.2392,0.015019
682.1028,0.015085
683.9665,0.015162
685.8302,0.014815
687.6938,0.014638
689.5575,0.014594
691.4212,0.014676
693.2848,0.014688
695.1485,0.014691
697.0122,0.014748
698.8758,0.014826
700.7395,0.014375
702.6032,0.014068
704.4669,0.014452
706.3305,0.014183
708.1942,0.013801
710.0579,0.013751
711.9215,0.013648
713.7852,0.013569
715.6489,0.013333
717.5125,0.013103
719.3762,0.013012
721.2399,0.012991
723.1035,0.012841
724.9672,0.012856
726.8309,0.012783
728.6945,0.012666
730.5582,0.012599
732.4219,0.012446
734.2856,0.012253
736.1492,0.012270
738.0129,0.012268
739.8766,0.012192
741.7402,0.012226
743.6039,0.012233
745.4676,0.012292
747.3312,0.012327
749.1949,0.012216
751.0586,0.011883
752.9222,0.011946
754.7859,0.011986
756.6496,0.011747
758.5132,0.011539
760.3769,0.011440
762.2406,0.011303
764.1043,0.011400
765.9679,0.011799
767.8316,0.011922
769.6953,0.011711
771.5589,0.011512
773.4226,0.011425
775.2863,0.011262
777.1499,0.011145
779.0136,0.011103
780.8773,0.011011
782.7409,0.010920
784.6046,0.010926
786.4683,0.010804
788.3320,0.010862
790.1956,0.010919
792.0593,0.010827
793.9230,0.010709
795.7866,0.010722
797.6503,0.010780
799.5140,0.010882
801.3776,0.010811
803.2413,0.010790
805.1050,0.010794
806.9686,0.010817
808.8323,0.011002
810.6960,0.011011
812.5596,0.011136
814.4233,0.011243
816.2870,0.011129
818.1507,0.011167
820.0143,0.011256
821.8780,0.011220
823.7417,0.011176
825.6053,0.011261
827.4690,0.011175
829.3327,0.011055
831.1963,0.011099
833.0600,0.011137
834.9237,0.011130
836.7873,0.011177
838.6510,0.011210
840.5147,0.011152
842.3784,0.011036
844.2420,0.010959
846.1057,0.011088
847.9694,0.011199
849.8330,0.011160
851.6967,0.011027
853.5604,0.010928
855.4240,0.010926
857.2877,0.010968
859.1514,0.011002
861.0150,0.010932
862.8787,0.010906
864.7424,0.010988
866.6060,0.011036
868.4697,0.011114
870.3334,0.011174
872.1971,0.011276
874.0607,0.011285
875.9244,0.011255
877.7881,0.011295
879.6517,0.011356
881.5154,0.011449
883.3791,0.011523
885.2427,0.011604
887.1064,0.011695
888.9701,0.011771
890.8337,0.011805
892.6974,0.011747
894.5611,0.011752
896.4247,0.011804
898.2884,0.011811
900.1521,0.011821
902.0158,0.011777
903.8794,0.011747
905.7431,0.011783
907.6068,0.011841
909.4704,0.011908
911.3341,0.012002
913.1978,0.012068
915.0614,0.012053
916.9251,0.012122
918.7888,0.012245
920.6524,0.012290
922.5161,0.012320
924.3798,0.012406
926.2435,0.012439
928.1071,0.012402
929.9708,0.012378
931.8345,0.012381
933.6981,0.012370
935.5618,0.012372
937.4255,0.012454
939.2891,0.012503
941.1528,0.012511
943.0165,0.012574
944.8801,0.012620
946.7438,0.012647
948.6075,0.012735
950.4711,0.012791
952.3348,0.012757
954.1985,0.012739
956.0622,0.012749
957.9258,0.012736
959.7895,0.012805
961.6532,0.012998
963.5168,0.013182
965.3805,0.013315
967.2442,0.013445
969.1078,0.013451
970.9715,0.013434
972.8352,0.013440
974.6988,0.013428
976.5625,0.013493
978.4262,0.013612
980.2899,0.013717
982.1535,0.013840
984.0172,0.014008
985.8809,0.014251
987.7445,0.014451
989.6082,0.014614
991.4719,0.014775
993.3355,0.014951
995.1992,0.015163
997.0629,0.015407
998.9265,0.015614
1000.7902,0.015828
1002.6539,0.016103
1004.5175,0.016302
1006.3812,0.016505
1008.2449,0.016786
1010.1086,0.017127
1011.9722,0.017527
1013.8359,0.017903
1015.6996,0.018273
1017.5632,0.018656
1019.4269,0.019012
1021.2906,0.019374
1023.1542,0.019690
1025.0179,0.019920
1026.8816,0.020215
1028.7452,0.020567
1030.6089,0.020831
1032.4726,0.021056
1034.3362,0.021247
1036.1999,0.021368
1038.0636,0.021497
1039.9273,0.021565
1041.7909,0.021557
1043.6546,0.021551
1045.5183,0.021550
1047.3819,0.021507
1049.2456,0.021458
1051.1093,0.021465
1052.9729,0.021496
1054.8366,0.021540
1056.7003,0.021634
1058.5639,0.021765
1060.4276,0.021881
1062.2913,0.021968
1064.1550,0.022071
1066.0186,0.022207
1067.8823,0.022388
1069.7460,0.022506
1071.6096,0.022545
1073.4733,0.022620
1075.3370,0.022615
1077.2006,0.022539
1079.0643,0.022456
1080.9280,0.022262
1082.7916,0.022054
1084.6553,0.021795
1086.5190,0.021415
1088.3826,0.021080
1090.2463,0.020826
1092.1100,0.020576
1093.9737,0.020300
1095.8373,0.019988
1097.7010,0.019710
1099.5647,0.019463
1101.4283,0.019260
1103.2920,0.019079
1105.1557,0.018915
1107.0193,0.018728
1108.8830,0.018556
1110.7467,0.018399
1112.6103,0.018264
1114.4740,0.018155
1116.3377,0.018020
1118.2014,0.017871
1120.0650,0.017734
1121.9287,0.017543
1123.7924,0.017317
1125.6560,0.017162
1127.5197,0.016992
1129.3834,0.016811
1131.2470,0.016596
1133.1107,0.016388
1134.9744,0.016222
1136.8380,0.016074
1138.7017,0.015963
1140.5654,0.015911
1142.4290,0.015829
1144.2927,0.015692
1146.1564,0.015531
1148.0201,0.015338
1149.8837,0.015176
1151.7474,0.015044
1153.6111,0.014952
1155.4747,0.014938
1157.3384,0.014872
1159.2021,0.014828
1161.0657,0.014820
1162.9294,0.014795
1164.7931,0.014739
1166.6567,0.014646
1168.5204,0.014494
1170.3841,0.014340
1172.2477,0.014201
1174.1114,0.013999
1175.9751,0.013762
1177.8388,0.013599
1179.7024,0.013492
1181.5661,0.013412
1183.4298,0.013421
1185.2934,0.013419
1187.1571,0.013426
1189.0208,0.013449
1190.8844,0.013536
1192.7481,0.013700
1194.6118,0.013844
1196.4754,0.013977
1198.3391,0.014094
1200.2028,0.014207
1202.0665,0.014372
1203.9301,0.014557
1205.7938,0.014722
1207.6575,0.014858
1209.5211,0.014974
1211.3848,0.015105
1213.2485,0.015285
1215.1121,0.015458
1216.9758,0.015620
1218.8395,0.015779
1220.7031,0.015887
1222.5668,0.016018
1224.4305,0.016160
1226.2941,0.016291
1228.1578,0.016434
1230.0215,0.016546
1231.8852,0.016652
1233.7488,0.016705
1235.6125,0.016726
1237.4762,0.016767
1239.3398,0.016761
1241.2035,0.016693
1243.0672,0.016638
1244.9308,0.016586
1246.7945,0.016484
1248.6582,0.016391
1250.5218,0.016298
1252.3855,0.016162
1254.2492,0.016039
1256.1129,0.015930
1257.9765,0.015832
1259.8402,0.015779
1261.7039,0.015699
1263.5675,0.015557
1265.4312,0.015461
1267.2949,0.015423
1269.1585,0.015386
1271.0222,0.015316
1272.8859,0.015241
1274.7495,0.015175
1276.6132,0.015176
1278.4769,0.015193
1280.3405,0.015189
1282.2042,0.015185
1284.0679,0.015148
1285.9316,0.015142
1287.7952,0.015240
1289.6589,0.015317
1291.5226,0.015305
1293.3862,0.015336
1295.2499,0.015420
1297.1136,0.015463
1298.9772,0.015522
1300.8409,0.015632
1302.7046,0.015669
1304.5682,0.015706
1306.4319,0.015818
1308.2956,0.015885
1310.1592,0.015893
1312.0229,0.015923
1313.8866,0.015990
1315.7503,0.015970
1317.6139,0.015916
1319.4776,0.015901
1321.3413,0.015851
1323.2049,0.015724
1325.0686,0.015641
1326.9323,0.015565
1328.7959,0.015494
1330.6596,0.015507
1332.5233,0.015551
1334.3869,0.015537
1336.2506,0.015519
1338.1143,0.015656
1339.9780,0.015989
1341.8416,0.016093
1343.7053,0.015961
1345.5690,0.015885
1347.4326,0.015830
1349.2963,0.015826
1351.1600,0.015843
1353.0236,0.015802
1354.8873,0.015783
1356.7510,0.015727
1358.6146,0.015653
1360.4783,0.015809
1362.3420,0.016292
1364.2056,0.016573
1366.0693,0.016483
1367.9330,0.016602
1369.7967,0.016784
1371.6603,0.016885
1373.5240,0.017285
1375.3877,0.017737
1377.2513,0.017769
1379.1150,0.017849
1380.9787,0.017990
1382.8423,0.018035
1384.7060,0.018101
1386.5697,0.018504
1388.4333,0.018839
1390.2970,0.018626
1392.1607,0.018454
1394.0244,0.018818
1395.8880,0.019389
1397.7517,0.019460
1399.6154,0.019564
1401.4790,0.019302
1403.3427,0.019022
1405.2064,0.019135
1407.0700,0.019002
1408.9337,0.018667
1410.7974,0.018441
1412.6610,0.018079
1414.5247,0.017668
1416.3884,0.017509
1418.2520,0.017881
1420.1157,0.018297
1421.9794,0.017806
1423.8431,0.017463
1425.7067,0.017284
1427.5704,0.017047
1429.4341,0.017177
1431.2977,0.017271
1433.1614,0.017152
1435.0251,0.017390
1436.8887,0.018394
1438.7524,0.018549
1440.6161,0.018052
1442.4797,0.017821
1444.3434,0.017765
1446.2071,0.017907
1448.0707,0.018200
1449.9344,0.018075
1451.7981,0.017567
1453.6618,0.017243
1455.5254,0.017505
1457.3891,0.018776
1459.2528,0.018460
1461.1164,0.017354
1462.9801,0.016854
1464.8438,0.017120
1466.7074,0.016967
1468.5711,0.016242
1470.4348,0.015812
1472.2984,0.016310
1474.1621,0.016554
1476.0258,0.016166
1477.8895,0.015783
1479.7531,0.015460
1481.6168,0.015484
1483.4805,0.015395
1485.3441,0.015316
1487.2078,0.015809
1489.0715,0.016748
1490.9351,0.017516
1492.7988,0.017308
1494.6625,0.017245
1496.5261,0.018335
1498.3898,0.019233
1500.2535,0.019163
1502.1171,0.018867
1503.9808,0.018736
1505.8445,0.020231
1507.7082,0.023404
1509.5718,0.023181
1511.4355,0.022665
1513.2992,0.022803
1515.1628,0.022975
1517.0265,0.023657
1518.8902,0.024012
1520.7538,0.024550
1522.6175,0.025553
1524.4812,0.025359
1526.3448,0.025479
1528.2085,0.025703
1530.0722,0.025593
1531.9359,0.025627
1533.7995,0.026247
1535.6632,0.026034
1537.5269,0.025410
1539.3905,0.026360
1541.2542,0.028066
1543.1179,0.027738
1544.9815,0.027305
1546.8452,0.026584
1548.7089,0.025742
1550.5725,0.025249
1552.4362,0.024452
1554.2999,0.023711
1556.1635,0.023219
1558.0272,0.023548
1559.8909,0.024878
1561.7546,0.023515
1563.6182,0.022093
1565.4819,0.021468
1567.3456,0.021036
1569.2092,0.020818
1571.0729,0.020603
1572.9366,0.019882
1574.8002,0.019581
1576.6639,0.020076
1578.5276,0.019812
1580.3912,0.019116
1582.2549,0.018820
1584.1186,0.018690
1585.9822,0.018557
1587.8459,0.018463
1589.7096,0.018472
1591.5733,0.018413
1593.4369,0.018474
1595.3006,0.018623
1597.1643,0.018665
1599.0279,0.018636
1600.8916,0.018719
1602.7553,0.018974
1604.6189,0.019290
1606.4826,0.019576
1608.3463,0.019948
