Wavenumber,Intensity
650.4205,0.021874
652.2841,0.020692
654.1478,0.021843
656.0115,0.021914
657.8751,0.021239
659.7388,0.020603
661.6025,0.020492
663.4661,0.020753
665.3298,0.020495
667.1935,0.019916
669.0571,0.022057
670.9208,0.020943
672.7845,0.020365
674.6481,0.020492
676.5118,0.020170
678.3755,0.019943
680.2392,0.020123
682.1028,0.020317
683.9665,0.020273
685.8302,0.020145
687.6938,0.019899
689.5575,0.019501
691.4212,0.019450
693.2848,0.019251
695.1485,0.018666
697.0122,0.018857
698.8758,0.019186
700.7395,0.019071
702.6032,0.018761
704.4669,0.018423
706.3305,0.018549
708.1942,0.018542
710.0579,0.018037
711.9215,0.017892
713.7852,0.018045
715.6489,0.017856
717.5125,0.017674
719.3762,0.017856
721.2399,0.017671
723.1035,0.017241
724.9672,0.017207
726.8309,0.017395
728.6945,0.017385
730.5582,0.017095
732.4219,0.017026
734.2856,0.016980
736.1492,0.016874
738.0129,0.016813
739.8766,0.016567
741.7402,0.016634
743.6039,0.016885
745.4676,0.016876
747.3312,0.016665
749.1949,0.016469
751.0586,0.016266
752.9222,0.016334
754.7859,0.016387
756.6496,0.016379
758.5132,0.016504
760.3769,0.016599
762.2406,0.016592
764.1043,0.016467
765.9679,0.016609
767.8316,0.016454
769.6953,0.016108
771.5589,0.015936
773.4226,0.015915
775.2863,0.016062
777.1499,0.016070
779.0136,0.015905
780.8773,0.015909
782.7409,0.015968
784.6046,0.015967
786.4683,0.015960
788.3320,0.016050
790.1956,0.016049
792.0593,0.015889
793.9230,0.015676
795.7866,0.015623
797.6503,0.015690
799.5140,0.015676
801.3776,0.015742
803.2413,0.015691
805.1050,0.015421
806.9686,0.015373
808.8323,0.015561
810.6960,0.015561
812.5596,0.015420
814.4233,0.015328
816.2870,0.015239
818.1507,0.015171
820.0143,0.014930
821.8780,0.014796
823.7417,0.014915
825.6053,0.014795
827.4690,0.014591
829.3327,0.014535
831.1963,0.014511
833.0600,0.014496
834.9237,0.014393
836.7873,0.014240
