Wavenumber,Intensity
650.4205,0.001610
652.2841,0.000881
654.1478,0.000176
656.0115,0.001163
657.8751,0.001513
659.7388,0.000426
661.6025,0.001279
663.4661,0.002096
665.3298,0.001592
667.1935,0.000393
669.0571,0.000716
670.9208,0.001907
672.7845,0.002561
674.6481,0.002684
676.5118,0.001852
678.3755,0.001363
680.2392,0.001313
682.1028,0.002015
683.9665,0.002246
685.8302,0.001826
687.6938,0.001856
689.5575,0.002372
691.4212,0.002784
693.2848,0.002861
695.1485,0.003131
697.0122,0.003115
698.8758,0.002574
700.7395,0.002341
702.6032,0.002343
704.4669,0.002236
706.3305,0.002191
708.1942,0.002653
710.0579,0.003192
711.9215,0.003082
713.7852,0.002898
715.6489,0.002940
717.5125,0.003188
719.3762,0.003373
721.2399,0.003385
723.1035,0.003307
724.9672,0.003046
726.8309,0.002993
728.6945,0.003177
730.5582,0.003295
732.4219,0.003397
734.2856,0.003419
736.1492,0.003506
738.0129,0.003514
739.8766,0.003537
741.7402,0.003602
743.6039,0.003760
745.4676,0.003953
747.3312,0.003950
749.1949,0.004086
751.0586,0.004246
752.9222,0.004090
754.7859,0.004008
756.6496,0.004148
758.5132,0.004110
760.3769,0.004082
762.2406,0.004310
764.1043,0.004198
765.9679,0.004061
767.8316,0.004211
769.6953,0.004326
771.5589,0.004389
773.4226,0.004475
775.2863,0.004489
777.1499,0.004393
779.0136,0.004447
780.8773,0.004699
782.7409,0.004748
784.6046,0.004695
786.4683,0.004538
788.3320,0.004385
790.1956,0.004448
792.0593,0.004567
793.9230,0.004610
795.7866,0.004535
797.6503,0.004383
799.5140,0.004236
801.3776,0.004302
803.2413,0.004470
805.1050,0.004431
806.9686,0.004246
808.8323,0.004369
810.6960,0.004583
812.5596,0.004521
814.4233,0.004339
816.2870,0.004281
818.1507,0.004328
820.0143,0.004431
821.8780,0.004459
823.7417,0.004534
825.6053,0.004624
827.4690,0.004552
829.3327,0.004474
831.1963,0.004545
833.0600,0.004554
834.9237,0.004464
836.7873,0.004370
838.6510,0.004252
840.5147,0.004202
842.3784,0.004299
844.2420,0.004240
846.1057,0.004023
847.9694,0.003979
849.8330,0.004015
851.6967,0.003958
853.5604,0.003919
855.4240,0.003950
857.2877,0.003952
859.1514,0.003996
861.0150,0.004023
862.8787,0.004078
864.7424,0.004137
866.6060,0.004123
868.4697,0.004194
870.3334,0.004261
872.1971,0.004126
874.0607,0.004077
875.9244,0.004146
877.7881,0.004120
879.6517,0.004066
881.5154,0.004177
883.3791,0.004260
885.2427,0.004217
887.1064,0.004128
888.9701,0.004114
890.8337,0.004106
892.6974,0.004087
894.5611,0.004098
896.4247,0.004129
898.2884,0.004146
900.1521,0.004113
902.0158,0.004119
903.8794,0.004121
905.7431,0.004112
907.6068,0.004094
909.4704,0.004104
911.3341,0.004124
913.1978,0.004181
915.0614,0.004199
916.9251,0.004139
918.7888,0.004090
920.6524,0.004096
922.5161,0.004079
924.3798,0.004018
926.2435,0.003955
928.1071,0.003851
929.9708,0.003751
931.8345,0.003694
933.6981,0.003682
935.5618,0.003711
937.4255,0.003673
939.2891,0.003621
941.1528,0.003572
943.0165,0.003542
944.8801,0.003554
946.7438,0.003601
948.6075,0.003639
950.4711,0.003639
952.3348,0.003650
954.1985,0.003602
